safra,custo_60kg_variavel_nominal,custo_60kg_total_nominal,ano,produtividade_kg_ha,custo_rs_ha_total_nominal,custo_rs_ha_variavel_nominal,fator_deflator,custo_rs_ha_total_real,custo_rs_ha_variavel_real,custo_fixo_real,custo_var_kg_real
1999/00,6.46,10.07,1999,3600,604.2,387.6,4.776733738342524,2886.102524706553,1851.4619969815624,1034.6405277249908,0.5142949991615451
2000/01,6.82,10.95,2000,3600,657.0,409.2,4.462405294256805,2931.800278326721,1826.0162464098846,1105.7840319168365,0.5072267351138569
2001/02,7.03,11.26,2001,3600,675.6,421.8,4.176699368049896,2821.7780930545096,1761.7317934434461,1060.0462996110634,0.48936994262317945
2002/03,8.35,14.41,2002,3600,864.6,501.0,3.8512680400952717,3329.806347466372,1929.485288087731,1400.3210593786407,0.5359681355799253
2003/04,10.4,18.14,2003,3600,1088.4,624.0,3.3572647163716343,3654.046917298887,2094.9331830159,1559.113734282987,0.5819258841710833
2004/05,8.03,14.7,2004,4800,1176.0,642.4,3.149463152695829,3703.7686675702953,2023.2151292918006,1680.5535382784947,0.4215031519357918
2005/06,9.4,16.17,2005,4800,1293.6000000000001,752.0,2.946998977609979,3812.237877436269,2216.143231162704,1596.094646273565,0.46169650649223004
2006/07,8.18,14.9,2006,4500,1117.5,613.5,2.828656084234691,3161.023174132267,1735.380507677983,1425.642666454284,0.3856401128173295
2007/08,9.18,16.63,2007,4200,1164.1,642.6,2.7292735278986973,3177.1473138268734,1753.831169027703,1423.3161447991704,0.41757884976850074
2008/09,12.48,21.68,2008,4200,1517.6,873.6,2.5826244103119955,3919.3908050894843,2256.1806848485594,1663.2101202409249,0.5371858773448951
2009/10,11.46,21.01,2009,4200,1470.7,802.2,2.462266291630245,3621.255035100601,1975.2300191457825,1646.0250159548186,0.4702928617013768
2010/11,12.34,22.13,2010,4200,1549.1,863.8,2.344143679868102,3631.312974483677,2024.8713106700666,1606.4416638136104,0.4821122168262063
2011/12,14.12,24.6,2011,4200,1722.0,988.4,2.1982592083623533,3785.4023567999725,2172.75940154535,1612.6429552546224,0.5173236670346072
2012/13,16.38,28.15,2012,4200,1970.5,1146.6,2.085563039932625,4109.601970187237,2391.3065815867476,1718.2953886004898,0.5693587099016065
2013/14,16.86,29.76,2013,4200,2083.2,1180.2,1.9637289905416229,4090.8402330963086,2317.5929546372236,1773.247278459085,0.551807846342196
2014/15,18.11,32.57,2014,4200,2279.9,1267.7,1.846839121244845,4210.6085125261225,2341.23795400209,1869.3705585240323,0.5574376080957357
2015/16,20.41,34.1,2015,4800,2728.0,1632.8,1.693879278791923,4620.902672544366,2765.766086411452,1855.1365861329145,0.5762012680023858
2016/17,22.47,38.69,2016,4800,3095.2,1797.6,1.5577398161699363,4821.516279009186,2800.1930935470773,2021.323185462109,0.5833735611556411
2017/18,21.91,37.7,2017,4800,3016.0,1752.8,1.5058438146760413,4541.62494506294,2639.443038364165,1902.181906698775,0.5498839663258678
2018/19,22.35,39.67,2018,4800,3173.6,1788.0,1.4526103448798835,4610.004190510798,2597.267296645232,2012.7368938655663,0.5410973534677567
2019/20,24.38,42.99,2019,4800,3439.2,1950.4,1.40033526552242,4816.033045184707,2731.213901874928,2084.8191433097786,0.5690028962239434
2020/21,25.17,43.75,2020,4800,3500.0,2013.6000000000001,1.356761632067946,4748.665712237811,2731.9752223320165,2016.6904899057945,0.5691615046525035
2021/22,28.23,50.26,2021,4800,4020.8,2258.4,1.2527626200113375,5037.107942541586,2829.2391010336046,2207.868841507982,0.5894248127153343
2022/23,43.24,76,2022,4800,6080.0,3459.2,1.146379346107216,6969.986424331873,3965.5554340540816,3004.430990277792,0.8261573820946003
2023/24,42.06,73.97,2023,4800,5917.6,3364.8,1.0960327537763812,6485.883423747114,3687.9310099067675,2797.9524138403463,0.7683189603972432
2024/25,37.24,70.32,2024,4800,5625.599999999999,2979.2,1.0501675476932033,5907.822556302884,3128.659158087591,2779.1633982152925,0.6518039912682482
