ano,ratio_renda_fatores_conab,custo_fixo_operacional_real,custo_rs_ha_variavel_real,custo_operacional_total_real,fator_deflator,custo_fixo_operacional_nominal,custo_operacional_total_nominal,custo_rs_ha_variavel_nominal
1999,0.20638960187865213,438.9789766698325,1851.4619969815624,2290.440973651395,4.776733738342524,91.89940254491839,479.4994025449184,387.6
2000,0.1840433323681207,566.2057388558028,1826.0162464098848,2392.2219852656876,4.462405294256805,126.88353063414469,536.0835306341447,409.2
2001,0.18887630953709758,527.0792670622991,1761.731793443446,2288.811060505745,4.176699368049896,126.19516527673689,547.9951652767369,421.8
2002,0.21810667559132338,674.0680665698633,1929.485288087731,2603.5533546575944,3.851268040095272,175.02496828374174,676.0249682837417,501.0
2003,0.1850251184433714,883.0232706121242,2094.9331830159,2977.956453628024,3.3572647163716343,263.01866108623454,887.0186610862346,624.0
2004,0.1823444126479037,1005.19201600668,2023.2151292918008,3028.407145298481,3.149463152695829,319.1629707260652,961.5629707260653,642.4
2005,0.1888956529702997,875.9794831371319,2216.143231162704,3092.122714299836,2.946998977609979,297.24458331762054,1049.2445833176205,752.0
2006,0.18993236861817034,825.2620477344155,1735.380507677983,2560.6425554123985,2.828656084234691,291.7505780691946,905.2505780691946,613.5
2007,0.18325485849104572,841.0884633986204,1753.831169027703,2594.9196324263235,2.7292735278986973,308.1730192305735,950.7730192305736,642.6
2008,0.17218568921972796,988.347113145127,2256.1806848485594,3244.5277979936864,2.5826244103119955,382.6909980401405,1256.2909980401405,873.6
2009,0.20259444627288736,912.3788573057075,1975.2300191457823,2887.60887645149,2.462266291630245,370.5443478664647,1172.7443478664645,802.2
2010,0.2097438617295614,844.7960573967441,2024.8713106700664,2869.6673680668105,2.344143679868102,360.3857837947366,1224.1857837947366,863.8
2011,0.24200851613381286,696.5433479160238,2172.75940154535,2869.302749461374,2.1982592083623533,316.8613352175746,1305.2613352175747,988.4
2012,0.19895437488595705,900.6720975917901,2391.306581586748,3291.978679178538,2.085563039932625,431.86040428722157,1578.4604042872218,1146.6
2013,0.11694737241702202,1294.8342622206337,2317.592954637224,3612.4272168578577,1.9637289905416229,659.3752337808595,1839.57523378086,1180.2
2014,0.17702618535246356,1123.9825955389224,2341.23795400209,3465.2205495410126,1.846839121244845,608.5980000149186,1876.2980000149187,1267.7
2015,0.287332942623045,527.3990236560489,2765.766086411452,3293.165110067501,1.693879278791923,311.3557325243335,1944.1557325243334,1632.8
2016,0.3234022071477792,462.03417903159107,2800.1930935470773,3262.2272725786684,1.5577398161699365,296.605488436194,2094.2054884361937,1797.6
2017,0.34182062182532896,349.76084387993524,2639.443038364165,2989.2038822441004,1.5058438146760411,232.26900457480767,1985.0690045748079,1752.8
2018,0.3662985009434441,324.0992695384657,2597.267296645232,2921.3665661836976,1.4526103448798835,223.1150774058858,2011.115077405886,1788.0
2019,0.20115956957049239,1116.0280089031553,2731.213901874928,3847.2419107780834,1.40033526552242,796.9720083331624,2747.3720083331627,1950.4
2020,0.19584299219899615,1086.6975878683643,2731.9752223320165,3818.672810200381,1.356761632067946,800.949527303513,2814.549527303513,2013.6
2021,0.06077130449495235,1901.7572209578443,2829.2391010336046,4730.996321991449,1.2527626200113375,1518.050738886696,3776.450738886696,2258.4
2022,0.1618498850752835,1876.3394885233915,3965.5554340540816,5841.894922577473,1.146379346107216,1636.752698742276,5095.952698742276,3459.2
2023,0.3428797382558151,574.0744031482054,3687.931009906768,4262.005413054973,1.0960327537763812,523.7748608973882,3888.5748608973886,3364.8
2024,0.2891306094646833,1071.0310619022366,3128.659158087591,4199.690219989828,1.0501675476932033,1019.8668433954773,3999.066843395477,2979.2
