cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct,categoria_total,categoria_item,fator_deflator,custo_rs_ha_real,custo_rs_60kg_real,var_pct_aa,grupo
Assis Chateaubriand,PR,2019,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),3418.860413689786,34.15,0.9482195882314656,6000.0,,Custo Total (J),,1.40033526552242,4787.550805188377,47.82144931759064,,Agricultura familiar (ref. Oeste)
Assis Chateaubriand,PR,2020,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),3446.3,34.46,137.57,6000.0,,Custo Total (J),,1.356761632067946,4675.807612595763,46.75400584106142,-2.3340366951618674,Agricultura familiar (ref. Oeste)
Assis Chateaubriand,PR,2021,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),4034.25,40.33391,122.72,6000.0,100.0,Custo Total (J),,1.2527626200113375,5053.957599780739,50.52881476690149,8.087372674750547,Agricultura familiar (ref. Oeste)
Assis Chateaubriand,PR,2022,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),6726.82,67.26817,134.21,6000.0,99.99,Custo Total (J),,1.146379346107216,7711.4875129809425,77.11484073842904,52.58314619251057,Agricultura familiar (ref. Oeste)
Assis Chateaubriand,PR,2023,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),7884.31,78.84303,186.69,6000.0,100.0,Custo Total (J),,1.0960327537763812,8641.46200092666,86.41454328697384,12.05959921973896,Agricultura familiar (ref. Oeste)
Campo Mourão,PR,1999,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),346.1,6.919999999999999,1.0,3000.0,,Custo Total (J),,4.776733738342524,1653.2275468403477,33.05499746933026,,Demais cidades (maior escala)
Campo Mourão,PR,2002,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),615.91,12.32,1.0,3000.0,,Custo Total (J),,3.8512680400952717,2372.0344985750785,47.44762225397375,43.479008870165295,Demais cidades (maior escala)
Campo Mourão,PR,2003,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),662.86,13.25,1.0,3000.0,,Custo Total (J),,3.3572647163716347,2225.3964898941017,44.48375749192416,-6.1819509273185025,Demais cidades (maior escala)
Campo Mourão,PR,2004,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),857.59,17.15,1.0,3000.0,,Custo Total (J),,3.149463152695829,2700.948105120416,54.01329306873347,21.369298342379615,Demais cidades (maior escala)
Campo Mourão,PR,2005,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),892.73,17.86,1.0,3000.0,,Custo Total (J),,2.946998977609979,2630.8743972817565,52.63340174011422,-2.594411484834347,Demais cidades (maior escala)
Campo Mourão,PR,2006,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),869.4100000000001,17.389999999999997,0.9999999999999998,3000.0,,Custo Total (J),,2.828656084234691,2459.261886194483,49.19032930484126,-6.52302182364104,Demais cidades (maior escala)
Campo Mourão,PR,2007,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),908.31,18.19,1.0,3000.0,,Custo Total (J),,2.7292735278986973,2479.0264381256657,49.645485472477304,0.8036782110166785,Demais cidades (maior escala)
Campo Mourão,PR,2008,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),1144.33,22.88,1.0,3000.0,,Custo Total (J),,2.5826244103119955,2955.3745914523256,59.09044650793845,19.21513002042914,Demais cidades (maior escala)
Campo Mourão,PR,2009,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),944.06,18.9,1.0,3000.0,,Custo Total (J),,2.462266291630245,2324.527115276449,46.53683291181162,-21.345770448201172,Demais cidades (maior escala)
Campo Mourão,PR,2010,VI - RENDA DE FATORES,CUSTO TOTAL  (H+I = J),980.3,19.61,1.0,3000.0,,Custo Total (J),,2.344143679868102,2297.9640493747006,45.96865756221348,-1.1427298794313812,Demais cidades (maior escala)
Campo Mourão,PR,2011,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),1140.76,22.8,185.31,3000.0,,Custo Total (J),,2.198259208362353,2507.6861745314377,50.12030995066165,9.126431948045699,Demais cidades (maior escala)
Campo Mourão,PR,2012,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),938.17,18.77,153.4,3000.0,,Custo Total (J),,2.085563039932625,1956.6126771735906,39.14601825953537,-21.975377260307127,Demais cidades (maior escala)
Campo Mourão,PR,2013,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),923.08,18.46,152.39,3000.0,,Custo Total (J),,1.9637289905416229,1812.6789565891613,36.25043716539836,-7.356270470062965,Demais cidades (maior escala)
Campo Mourão,PR,2014,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),1496.77,29.92,166.96,3000.0,,Custo Total (J),,1.846839121244845,2764.2933915056465,55.25742650764576,52.49768203339749,Demais cidades (maior escala)
Campo Mourão,PR,2015,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),2758.15,36.79,174.84,4500.0,,Custo Total (J),,1.6938792787919235,4671.973132799943,62.31781866675486,69.01147856288974,Demais cidades (maior escala)
Campo Mourão,PR,2016,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),2922.61,38.96,182.28,4500.0,,Custo Total (J),,1.5577398161699365,4552.665964136419,60.68954323798073,-2.5536783982322064,Demais cidades (maior escala)
Campo Mourão,PR,2017,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),2936.79,39.18,190.98,4500.0,,Custo Total (J),,1.5058438146760413,4422.347056502452,58.9989606590073,-2.862474617302313,Demais cidades (maior escala)
Campo Mourão,PR,2018,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),2863.31,38.2,184.22,4500.0,,Custo Total (J),,1.4526103448798835,4159.2737265980195,55.48971517441155,-5.948726469073007,Demais cidades (maior escala)
Campo Mourão,PR,2019,VI - RENDA DE FATORES,CUSTO TOTAL (H+I=J),3815.39,35.22,139.63,6500.0,,Custo Total (J),,1.40033526552242,5342.825168721585,49.31980805169963,28.455723761456397,Demais cidades (maior escala)
