Fase,Tmin,Tmax,Tmed,Chuva,UR,ETc,ETR,ARM,DEF,EXC,N,PP,Data semeadura,Data maturação,ISNA,PA,Municipio,Ano
1,19.677647058823528,28.56705882352941,24.12235294117647,88.12,79.22176470588235,19.723533855002998,16.972564028295764,21.520444444444433,2.750969826707237,56.45054708281536,12.863724036705927,2016.7735444826103,2007-02-05,2007-05-15,0.860523481900814,8719.965488292528,Cascavel,2007
2,19.263928571428572,27.982857142857142,23.623392857142857,126.51,81.81785714285715,75.02663278535883,67.00759540080286,31.991833302698723,8.019037384555977,49.03101574094286,12.335199561189201,3011.723349536619,2007-02-05,2007-05-15,0.8931174559373154,7321.947345001255,Cascavel,2007
3,17.996666666666666,28.714545454545455,23.35560606060606,90.06,78.4069696969697,121.19370171608006,85.33887015496396,26.020932079658397,35.8548315611161,10.692031068076368,11.580468247059727,2981.3248478838777,2007-02-05,2007-05-15,0.7041526824132078,6238.8581042360765,Cascavel,2007
4,13.463636363636363,23.200909090909093,18.332272727272727,174.17,84.02227272727272,38.123265818946926,33.82791846727483,42.08294158100773,4.295347351672099,124.28007203137585,10.961834575167963,1225.3813339743303,2007-02-05,2007-05-15,0.8873300264444464,6098.271708711851,Cascavel,2007
1,19.685882352941174,27.502352941176472,23.594117647058823,116.49,84.98411764705882,18.810159723655143,17.357625778637498,21.520444444444433,1.4525339450176449,82.72628642742403,12.63764586174625,1901.536543230495,2007-02-15,2007-05-25,0.9227792870258843,8172.842563891488,Cascavel,2007
2,18.864642857142858,29.099999999999998,23.982321428571428,83.19,78.09107142857144,76.14110876451568,54.33445500102817,16.28558137334874,21.806653763487514,34.090408070067525,12.087386832408916,2906.2859896284085,2007-02-15,2007-05-25,0.7136020985597971,4661.815125241953,Cascavel,2007
3,16.837878787878786,26.597272727272728,21.717575757575755,200.0,82.15242424242423,100.53948630061461,81.30104777602378,33.495412024022265,19.238438524590833,101.4891215733027,11.343772336234144,2635.1943739377302,2007-02-15,2007-05-25,0.8086479329418136,4215.79114501287,Cascavel,2007
4,12.126363636363635,21.366363636363637,16.746363636363636,156.22,84.73681818181818,31.092497959055557,27.11033852517665,45.44224973610927,3.9821594338789037,117.16282376273634,10.77946278833805,990.316876079822,2007-02-15,2007-05-25,0.8719253937357222,4107.80398681488,Cascavel,2007
1,19.87764705882353,29.039411764705882,24.458529411764708,71.71000000000001,80.41588235294117,19.891216146632505,18.364053202556494,21.520444444444433,1.5271629440760117,38.64905790855463,12.39793265473502,1893.716992983168,2007-02-25,2007-06-04,0.9232242547253926,7055.676242653111,Cascavel,2007
2,18.169285714285714,28.56,23.364642857142858,96.0,78.60071428571429,66.47912276351065,48.42962835978448,33.89721942092941,18.049494403726165,35.193596663730546,11.837867555932378,2716.8945486211205,2007-02-25,2007-06-04,0.7284937939398736,4182.18641090614,Cascavel,2007
3,15.059393939393939,24.733030303030304,19.896212121212123,211.86,83.04272727272726,89.96432678996887,75.11265869242914,40.1685843551131,14.851668097539733,130.47597637338717,11.121615226508297,2156.3606100698476,2007-02-25,2007-06-04,0.8349160314152907,3836.9804458694257,Cascavel,2007
4,9.022272727272728,18.707727272727272,13.865000000000002,113.86,83.63272727272728,26.34389938580777,24.867558219891755,45.13917237031617,1.476341165916015,84.02185376490517,10.631109815610705,512.2512104375586,2007-02-25,2007-06-04,0.9439588974929292,3793.9747229725067,Cascavel,2007
1,18.767058823529414,27.90352941176471,23.33529411764706,70.58,80.30352941176471,17.291635089940232,14.120368021201037,15.701927417390392,3.171267068739195,45.59431584079444,12.200197381356505,1791.6180593797528,2007-03-05,2007-06-12,0.816601087621601,6276.672956278226,Cascavel,2007
2,18.1475,28.743928571428572,23.445714285714285,88.3,78.66964285714286,62.61661428063139,51.09632239522826,34.580530538086585,11.520291885403127,18.325074484075543,11.64030346003592,2585.2490007759466,2007-03-05,2007-06-12,0.8160186075572184,4544.486410672199,Cascavel,2007
3,14.321818181818182,23.742121212121212,19.031969696969696,263.41,84.49575757575758,76.93879558929049,63.29680818012491,47.24,13.641987409165587,187.45372235796168,10.958769013543389,2000.87002504424,2007-03-05,2007-06-12,0.8226903955971925,4141.595866827088,Cascavel,2007
4,8.09909090909091,18.812272727272727,13.455681818181818,27.29,81.86227272727272,27.461033663671767,24.910397986201705,36.124280785025206,2.550635677470064,13.495321228773093,10.54184226627581,395.84274023553934,2007-03-05,2007-06-12,0.9071180018673406,4064.659926913315,Cascavel,2007
1,18.095882352941175,28.624117647058824,23.36,46.17,78.18882352941176,17.434968386548686,12.003626299634332,11.86312088900782,5.431342086914352,29.12680836691341,11.949855616551645,1666.8667175411251,2007-03-15,2007-06-22,0.6884799578355011,5380.8134176968615,Cascavel,2007
2,17.11392857142857,26.832500000000003,21.973214285714285,196.92,81.52035714285715,53.74189327553283,45.32175598419498,40.70191504031723,8.420137291337848,122.75944986449561,11.400203047925629,2295.8064446282824,2007-03-15,2007-06-22,0.8433226524386089,4116.23605668563,Cascavel,2007
3,11.284545454545453,21.060303030303032,16.172424242424245,161.29,83.50666666666666,65.58948109183704,56.32519150505877,36.415454095486595,9.264289586778279,109.25126943977187,10.779852451987637,1285.0429798617151,2007-03-15,2007-06-22,0.8587534245955291,3825.533933404005,Cascavel,2007
4,11.075909090909091,21.52318181818182,16.299545454545456,9.49,83.07227272727272,28.372624080156307,20.8431414842981,25.062312611188496,7.529482595858208,0.0,10.472177712239775,899.0312823989283,2007-03-15,2007-06-22,0.734621564273137,3622.4910911906472,Cascavel,2007
1,18.758235294117647,29.864117647058823,24.311176470588236,51.4,76.44588235294117,15.9632347466364,13.655234718948963,18.044413960952618,2.3080000276874384,25.60535132009842,11.700469319765526,1667.1186286259563,2007-03-25,2007-07-02,0.8554177731318675,5186.866240722268,Cascavel,2007
2,15.99392857142857,25.557142857142857,20.775535714285716,209.07,83.73821428571429,48.59090855076552,37.87568557799256,47.239999999999974,10.71522297277296,141.99872838296008,11.173007121768677,2009.7737246891584,2007-03-25,2007-07-02,0.779480909240909,3471.1616997826195,Cascavel,2007
3,9.483939393939394,19.53636363636364,14.510151515151517,117.81,83.43363636363637,56.85510868317585,50.77904906885053,31.752120873542676,6.076059614325312,82.51883005760678,10.635243472468899,910.0937975012321,2007-03-25,2007-07-02,0.8931308064472439,3285.6815740091283,Cascavel,2007
4,10.762727272727274,21.656363636363636,16.209545454545456,2.15,81.51136363636364,27.876233294732156,15.247105086324211,18.655015787218467,12.629128208407943,0.0,10.45282947708558,918.2646584971759,2007-03-25,2007-07-02,0.5469571489490117,2987.9706644221696,Cascavel,2007
1,19.099999999999998,30.939411764705884,25.01970588235294,47.57,67.99823529411765,22.060974464359223,16.781351869568624,10.905264811667186,5.279622594790596,24.859207918983998,12.863724036705927,2048.490153950821,2008-02-05,2008-05-14,0.7606804448588554,8148.636237436458,Cascavel,2008
2,18.0225,28.641785714285714,23.332142857142856,117.56,74.96428571428571,77.16402593148376,63.95777523589142,23.493228305074666,13.206250695592347,41.0142612707011,12.335199561189201,2920.770774516003,2008-02-05,2008-05-14,0.828854825338966,6056.736579278519,Cascavel,2008
3,16.615757575757577,28.277878787878787,22.44681818181818,107.5,72.09787878787878,111.8922410560568,62.63719603029905,43.088035324866176,49.25504502575775,25.267996949909442,11.580468247059727,2908.954061227763,2008-02-05,2008-05-14,0.559799280442676,4723.646679094734,Cascavel,2008
