cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct
Assis Chateaubriand,PR,2019,I - DESPESAS DE CUSTEIO DA LAVOURA,1 - Operação com animal,0.0,0.0,0.0,6000.0,
Assis Chateaubriand,PR,2019,I - DESPESAS DE CUSTEIO DA LAVOURA,2 - Operação com avião,0.0,0.0,0.0,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,3.1 - Tratores e Colheitadeiras,104.28,1.0300000000000002,0.030501391511172107,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,3.2 - Conjunto de Irrigação,0.0,0.0,0.0,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,4 - Aluguel de máquinas,146.74,1.47,0.04292073446825274,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,5 - Aluguel de animais,0.0,0.0,0.0,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,6 - Mão de obra,0.0,0.0,0.0,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,7 - Administrador Rural,69.88,0.68,0.020439559252020584,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,8 - Sementes,750.0,7.5,0.21937134285940812,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,9 - Fertilizantes,720.0,7.2,0.21059648914503182,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,10 - Agrotóxicos,410.2,4.1,0.11998149978790562,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,11 - Água,0.0,0.0,0.0,6000.0,
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,12 - Receita,0.0,0.0,0.0,6000.0,
Assis Chateaubriand,PR,2019,13 - Outros:,13.1 - Análise Foliar,0.0,0.0,0.0,6000.0,
Assis Chateaubriand,PR,2019,13 - Outros:,13.2 - Embalagens/Utensílios,0.0,0.0,0.0,6000.0,
Assis Chateaubriand,PR,2019,13 - Outros:,13.3 - Vernalização (alho),0.0,0.0,0.0,6000.0,
