cidade,uf,ano,secao,item,custo_rs_ha,custo_rs_60kg,participacao_pct,produtividade_kg_ha,participacao_ct_pct,categoria_total,categoria_item,fator_deflator,custo_rs_ha_real,custo_rs_60kg_real
Assis Chateaubriand,PR,2019,I - DESPESAS DE CUSTEIO DA LAVOURA,1 - Operação com animal,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,I - DESPESAS DE CUSTEIO DA LAVOURA,2 - Operação com avião,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,3.1 - Tratores e Colheitadeiras,104.28,1.0300000000000002,0.0305013915111721,6000.0,,,,1.40033526552242,146.02696148867796,1.442345323488093
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,3.2 - Conjunto de Irrigação,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,4 - Aluguel de máquinas,146.74,1.47,0.0429207344682527,6000.0,,,Máquinas/Depreciação,1.40033526552242,205.48519686275992,2.058492840317957
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,5 - Aluguel de animais,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,6 - Mão de obra,0.0,0.0,0.0,6000.0,,,Mão de obra,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,7 - Administrador Rural,69.88,0.68,0.0204395592520205,6000.0,,,Administração,1.40033526552242,97.8554283547067,0.9522279805552456
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,8 - Sementes,750.0,7.5,0.2193713428594081,6000.0,,,Sementes,1.40033526552242,1050.2514491418149,10.50251449141815
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,9 - Fertilizantes,720.0,7.2,0.2105964891450318,6000.0,,,Fertilizantes,1.40033526552242,1008.2413911761423,10.082413911761424
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,10 - Agrotóxicos,410.2,4.1,0.1199814997879056,6000.0,,,Defensivos/Agrotóxicos,1.40033526552242,574.4175259172966,5.741374588641921
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,11 - Água,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,3 - Operação com máquinas próprias:,12 - Receita,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,13 - Outros:,13.1 - Análise Foliar,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,13 - Outros:,13.2 - Embalagens/Utensílios,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,13 - Outros:,13.3 - Vernalização (alho),0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,13 - Outros:,13.4 - Análise de Solo,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,13 - Outros:,13.5 - Mudas,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,13 - Outros:,13.6 - Taxas Ambientais,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,13 - Outros:,13.7 - Demais Despesas,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,13 - Outros:,13.8 - Implementos Manuais,0.0,0.0,0.0,6000.0,,,Máquinas/Depreciação,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,13 - Outros:,14 - Serviços Diversos,0.0,0.0,0.0,6000.0,,,,1.40033526552242,0.0,0.0
Assis Chateaubriand,PR,2019,13 - Outros:,TOTAL DAS DESPESAS DE CUSTEIO DA LAVOURA (A),2201.1,21.98,0.643811017023791,6000.0,,Total Despesas de Custeio (A),,1.40033526552242,3082.2779529413983,30.77936913618279
Assis Chateaubriand,PR,2019,II - OUTRAS DESPESAS,15 - Transporte Externo,111.0,1.11,0.0324669587431924,6000.0,,,Transporte,1.40033526552242,155.43721447298861,1.5543721447298862
