,Year,PlantingDate,YieldDry_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
0,2015,02/15,11.319187473633207,Cascavel,30.0,0.45,0.9,0.012,0.006
1,2016,02/15,6.607064416513974,Cascavel,30.0,0.45,0.9,0.012,0.006
2,2017,02/15,10.754640758314348,Cascavel,30.0,0.45,0.9,0.012,0.006
3,2018,02/15,10.400053696742768,Cascavel,30.0,0.45,0.9,0.012,0.006
4,2019,02/15,11.466001287571666,Cascavel,30.0,0.45,0.9,0.012,0.006
5,2020,02/15,10.50734980560166,Cascavel,30.0,0.45,0.9,0.012,0.006
6,2021,02/15,11.266348778479983,Cascavel,30.0,0.45,0.9,0.012,0.006
7,2022,02/15,9.742557413700094,Cascavel,30.0,0.45,0.9,0.012,0.006
8,2023,02/15,10.824642076542574,Cascavel,30.0,0.45,0.9,0.012,0.006
9,2024,02/15,11.3581634729578,Cascavel,30.0,0.45,0.9,0.012,0.006
10,2015,02/15,11.563384149673624,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
11,2016,02/15,9.864352766839456,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
12,2017,02/15,11.240469753021218,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
13,2018,02/15,10.868622038192266,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
14,2019,02/15,11.809920383334738,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
15,2020,02/15,10.967934426285368,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
16,2021,02/15,11.770771539957169,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
17,2022,02/15,10.307119183921026,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
18,2023,02/15,11.589843009571679,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
19,2024,02/15,11.395225113856384,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
20,2015,02/15,11.692086568629634,Guaíra,30.0,0.45,0.9,0.012,0.006
21,2016,02/15,10.159209186081023,Guaíra,30.0,0.45,0.9,0.012,0.006
22,2017,02/15,11.376184026666994,Guaíra,30.0,0.45,0.9,0.012,0.006
23,2018,02/15,11.245809027346544,Guaíra,30.0,0.45,0.9,0.012,0.006
24,2019,02/15,11.872174657281203,Guaíra,30.0,0.45,0.9,0.012,0.006
25,2020,02/15,11.456828937661681,Guaíra,30.0,0.45,0.9,0.012,0.006
26,2021,02/15,11.820323136326074,Guaíra,30.0,0.45,0.9,0.012,0.006
27,2022,02/15,10.64284645488417,Guaíra,30.0,0.45,0.9,0.012,0.006
28,2023,02/15,11.617102578992942,Guaíra,30.0,0.45,0.9,0.012,0.006
29,2024,02/15,11.786121833833286,Guaíra,30.0,0.45,0.9,0.012,0.006
30,2015,02/15,11.68222588586456,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
31,2016,02/15,10.26323108892393,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
32,2017,02/15,11.433906284904843,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
33,2018,02/15,11.32492061170017,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
34,2019,02/15,11.893239104942522,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
35,2020,02/15,11.454919263235306,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
36,2021,02/15,11.92593988228068,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
37,2022,02/15,10.674023996999088,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
38,2023,02/15,11.696970962207715,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
39,2024,02/15,11.684680724804128,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
40,2015,02/15,11.399093241611267,Matelândia,30.0,0.45,0.9,0.012,0.006
41,2016,02/15,7.433053054031729,Matelândia,30.0,0.45,0.9,0.012,0.006
42,2017,02/15,11.01492467257934,Matelândia,30.0,0.45,0.9,0.012,0.006
43,2018,02/15,10.563512314302193,Matelândia,30.0,0.45,0.9,0.012,0.006
44,2019,02/15,11.655606725693463,Matelândia,30.0,0.45,0.9,0.012,0.006
45,2020,02/15,10.652678835856381,Matelândia,30.0,0.45,0.9,0.012,0.006
