Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
2015,01/05,"13.251.804.094.219.200,00",Cascavel,30.0,0.45,0.9,12,6
2015,02/05,12.927.199.231.307.700,Cascavel,30.0,0.45,0.9,12,6
2015,03/05,11.852.171.679.380.400,Cascavel,30.0,0.45,0.9,12,6
2016,01/05,12.647.441.042.350.000,Cascavel,30.0,0.45,0.9,12,6
2016,02/05,1.094.400.758.975.970,Cascavel,30.0,0.45,0.9,12,6
2016,03/05,8.934.751.884.466.650,Cascavel,30.0,0.45,0.9,12,6
2017,01/05,12.997.004.032.043.700,Cascavel,30.0,0.45,0.9,12,6
2017,02/05,1.243.175.170.465.150,Cascavel,30.0,0.45,0.9,12,6
2017,03/05,11.250.668.359.409.400,Cascavel,30.0,0.45,0.9,12,6
2018,01/05,13.397.900.373.240.800,Cascavel,30.0,0.45,0.9,12,6
2018,02/05,12.231.872.714.583.800,Cascavel,30.0,0.45,0.9,12,6
2018,03/05,10.950.885.914.076.700,Cascavel,30.0,0.45,0.9,12,6
2019,01/05,13.443.221.196.321.700,Cascavel,30.0,0.45,0.9,12,6
2019,02/05,12.902.499.801.225.800,Cascavel,30.0,0.45,0.9,12,6
2019,03/05,12.147.353.579.527.100,Cascavel,30.0,0.45,0.9,12,6
2020,01/05,13.156.546.848.747.800,Cascavel,30.0,0.45,0.9,12,6
2020,02/05,11.887.657.539.479.300,Cascavel,30.0,0.45,0.9,12,6
2020,03/05,10.868.431.826.813.800,Cascavel,30.0,0.45,0.9,12,6
2021,01/05,13.435.584.844.705.900,Cascavel,30.0,0.45,0.9,12,6
2021,02/05,12.843.906.645.149.700,Cascavel,30.0,0.45,0.9,12,6
2021,03/05,11.443.261.997.307.100,Cascavel,30.0,0.45,0.9,12,6
2022,01/05,1.317.291.842.862.670,Cascavel,30.0,0.45,0.9,12,6
2022,02/05,11.454.775.482.043.200,Cascavel,30.0,0.45,0.9,12,6
2022,03/05,7.273.843.059.007.940,Cascavel,30.0,0.45,0.9,12,6
2023,01/05,13.271.232.558.752.600,Cascavel,30.0,0.45,0.9,12,6
2023,02/05,12.618.983.208.970.100,Cascavel,30.0,0.45,0.9,12,6
2023,03/05,1.138.827.492.885.330,Cascavel,30.0,0.45,0.9,12,6
2024,01/05,13.535.910.135.008.800,Cascavel,30.0,0.45,0.9,12,6
2024,02/05,12.742.105.712.223.100,Cascavel,30.0,0.45,0.9,12,6
2024,03/05,1.211.890.419.158.000,Cascavel,30.0,0.45,0.9,12,6
2015,01/05,13.286.890.639.494.500,Foz do Iguaçu,30.0,0.45,0.9,12,6
2015,02/05,13.132.701.996.160.300,Foz do Iguaçu,30.0,0.45,0.9,12,6
2015,03/05,1.238.502.088.979.380,Foz do Iguaçu,30.0,0.45,0.9,12,6
2016,01/05,1.285.251.081.647.130,Foz do Iguaçu,30.0,0.45,0.9,12,6
2016,02/05,1.172.006.330.836.920,Foz do Iguaçu,30.0,0.45,0.9,12,6
2016,03/05,10.257.616.692.538.100,Foz do Iguaçu,30.0,0.45,0.9,12,6
2017,01/05,13.225.575.058.478.600,Foz do Iguaçu,30.0,0.45,0.9,12,6
2017,02/05,1.286.343.795.485.750,Foz do Iguaçu,30.0,0.45,0.9,12,6
2017,03/05,12.108.274.123.819.800,Foz do Iguaçu,30.0,0.45,0.9,12,6
2018,01/05,13.408.339.415.675.500,Foz do Iguaçu,30.0,0.45,0.9,12,6
2018,02/05,12.679.026.022.253.700,Foz do Iguaçu,30.0,0.45,0.9,12,6
2018,03/05,11.579.186.119.467.300,Foz do Iguaçu,30.0,0.45,0.9,12,6
2019,01/05,13.405.525.845.897.200,Foz do Iguaçu,30.0,0.45,0.9,12,6
2019,02/05,13.193.625.221.930.000,Foz do Iguaçu,30.0,0.45,0.9,12,6
2019,03/05,12.638.346.394.526.700,Foz do Iguaçu,30.0,0.45,0.9,12,6
2020,01/05,13.402.238.670.184.100,Foz do Iguaçu,30.0,0.45,0.9,12,6
2020,02/05,123.898.023.026.737,Foz do Iguaçu,30.0,0.45,0.9,12,6
2020,03/05,11.456.457.846.781.300,Foz do Iguaçu,30.0,0.45,0.9,12,6
2021,01/05,12.740.482.786.856.500,Foz do Iguaçu,30.0,0.45,0.9,12,6
2021,02/05,13.222.054.321.530.800,Foz do Iguaçu,30.0,0.45,0.9,12,6
2021,03/05,12.194.275.117.701.000,Foz do Iguaçu,30.0,0.45,0.9,12,6
2022,01/05,13.318.323.216.563.400,Foz do Iguaçu,30.0,0.45,0.9,12,6
2022,02/05,11.937.066.343.714.400,Foz do Iguaçu,30.0,0.45,0.9,12,6
2022,03/05,10.985.190.739.627.800,Foz do Iguaçu,30.0,0.45,0.9,12,6
2023,01/05,1.347.259.549.704.390,Foz do Iguaçu,30.0,0.45,0.9,12,6
2023,02/05,13.279.513.600.351.200,Foz do Iguaçu,30.0,0.45,0.9,12,6
2023,03/05,1.255.203.645.032.690,Foz do Iguaçu,30.0,0.45,0.9,12,6
2024,01/05,13.532.746.680.384.900,Foz do Iguaçu,30.0,0.45,0.9,12,6
2024,02/05,1.276.790.571.355.850,Foz do Iguaçu,30.0,0.45,0.9,12,6
2024,03/05,12.012.082.734.455.700,Foz do Iguaçu,30.0,0.45,0.9,12,6
2015,01/05,1.326.407.358.860.060,Guaíra,30.0,0.45,0.9,12,6
2015,02/05,13.178.636.241.187.700,Guaíra,30.0,0.45,0.9,12,6
2015,03/05,1.264.189.171.961.340,Guaíra,30.0,0.45,0.9,12,6
2016,01/05,12.942.185.705.972.700,Guaíra,30.0,0.45,0.9,12,6
2016,02/05,11.992.772.990.545.600,Guaíra,30.0,0.45,0.9,12,6
2016,03/05,10.690.757.009.899.800,Guaíra,30.0,0.45,0.9,12,6
2017,01/05,13.214.925.440.440.300,Guaíra,30.0,0.45,0.9,12,6
2017,02/05,12.934.037.833.808.400,Guaíra,30.0,0.45,0.9,12,6
2017,03/05,1.232.447.895.033.300,Guaíra,30.0,0.45,0.9,12,6
2018,01/05,13.416.919.711.354.000,Guaíra,30.0,0.45,0.9,12,6
2018,02/05,12.925.908.992.701.600,Guaíra,30.0,0.45,0.9,12,6
2018,03/05,12.162.816.186.165.700,Guaíra,30.0,0.45,0.9,12,6
2019,01/05,13.416.737.529.784.300,Guaíra,30.0,0.45,0.9,12,6
2019,02/05,13.247.527.817.878.800,Guaíra,30.0,0.45,0.9,12,6
2019,03/05,12.870.565.647.320.100,Guaíra,30.0,0.45,0.9,12,6
2020,01/05,13.512.646.538.984.700,Guaíra,30.0,0.45,0.9,12,6
2020,02/05,12.860.870.257.656.200,Guaíra,30.0,0.45,0.9,12,6
2020,03/05,12.314.093.110.317.500,Guaíra,30.0,0.45,0.9,12,6
2021,01/05,13.490.124.982.547.000,Guaíra,30.0,0.45,0.9,12,6
2021,02/05,1.333.158.887.644.000,Guaíra,30.0,0.45,0.9,12,6
2021,03/05,12.378.268.666.662.900,Guaíra,30.0,0.45,0.9,12,6
2022,01/05,13.347.157.431.155.800,Guaíra,30.0,0.45,0.9,12,6
2022,02/05,12.225.597.089.652.100,Guaíra,30.0,0.45,0.9,12,6
2022,03/05,11.427.655.031.278.800,Guaíra,30.0,0.45,0.9,12,6
2023,01/05,13.495.375.337.618.800,Guaíra,30.0,0.45,0.9,12,6
2023,02/05,13.342.598.178.601.200,Guaíra,30.0,0.45,0.9,12,6
2023,03/05,12.546.988.294.632.600,Guaíra,30.0,0.45,0.9,12,6
2024,01/05,13.614.994.506.256.000,Guaíra,30.0,0.45,0.9,12,6
2024,02/05,13.178.128.556.017.700,Guaíra,30.0,0.45,0.9,12,6
2024,03/05,12.910.807.081.482.900,Guaíra,30.0,0.45,0.9,12,6
2015,01/05,13.244.907.437.281.800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2015,02/05,13.196.703.510.216.200,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2015,03/05,12.643.509.642.017.400,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2016,01/05,12.980.603.636.377.800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2016,02/05,1.208.717.416.154.250,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2016,03/05,10.794.701.688.924.300,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2017,01/05,13.216.851.528.791.400,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2017,02/05,1.297.607.784.267.760,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2017,03/05,12.408.358.986.597.100,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2018,01/05,1.342.151.181.842.590,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2018,02/05,1.300.555.954.383.150,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2018,03/05,12.236.164.182.320.600,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2019,01/05,13.404.716.374.337.800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
