Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
2015,01/05,13.251804094219200,Cascavel,30.0,0.45,0.9,12,6
2015,02/05,12.927199231307700,Cascavel,30.0,0.45,0.9,12,6
2015,03/05,11.852171679380400,Cascavel,30.0,0.45,0.9,12,6
2016,01/05,12.647441042350000,Cascavel,30.0,0.45,0.9,12,6
2016,02/05,1.094400758975970,Cascavel,30.0,0.45,0.9,12,6
2016,03/05,8.934751884466650,Cascavel,30.0,0.45,0.9,12,6
2017,01/05,12.997004032043700,Cascavel,30.0,0.45,0.9,12,6
2017,02/05,1.243175170465150,Cascavel,30.0,0.45,0.9,12,6
2017,03/05,11.250668359409400,Cascavel,30.0,0.45,0.9,12,6
2018,01/05,13.397900373240800,Cascavel,30.0,0.45,0.9,12,6
2018,02/05,12.231872714583800,Cascavel,30.0,0.45,0.9,12,6
2018,03/05,10.950885914076700,Cascavel,30.0,0.45,0.9,12,6
2019,01/05,13.443221196321700,Cascavel,30.0,0.45,0.9,12,6
2019,02/05,12.902499801225800,Cascavel,30.0,0.45,0.9,12,6
2019,03/05,12.147353579527100,Cascavel,30.0,0.45,0.9,12,6
2020,01/05,13.156546848747800,Cascavel,30.0,0.45,0.9,12,6
2020,02/05,11.887657539479300,Cascavel,30.0,0.45,0.9,12,6
2020,03/05,10.868431826813800,Cascavel,30.0,0.45,0.9,12,6
2021,01/05,13.435584844705900,Cascavel,30.0,0.45,0.9,12,6
2021,02/05,12.843906645149700,Cascavel,30.0,0.45,0.9,12,6
2021,03/05,11.443261997307100,Cascavel,30.0,0.45,0.9,12,6
2022,01/05,1.317291842862670,Cascavel,30.0,0.45,0.9,12,6
2022,02/05,11.454775482043200,Cascavel,30.0,0.45,0.9,12,6
2022,03/05,7.273843059007940,Cascavel,30.0,0.45,0.9,12,6
2023,01/05,13.271232558752600,Cascavel,30.0,0.45,0.9,12,6
2023,02/05,12.618983208970100,Cascavel,30.0,0.45,0.9,12,6
2023,03/05,1.138827492885330,Cascavel,30.0,0.45,0.9,12,6
2024,01/05,13.535910135008800,Cascavel,30.0,0.45,0.9,12,6
2024,02/05,12.742105712223100,Cascavel,30.0,0.45,0.9,12,6
2024,03/05,1.211890419158000,Cascavel,30.0,0.45,0.9,12,6
2015,01/05,13.286890639494500,Foz do Iguaçu,30.0,0.45,0.9,12,6
2015,02/05,13.132701996160300,Foz do Iguaçu,30.0,0.45,0.9,12,6
2015,03/05,1.238502088979380,Foz do Iguaçu,30.0,0.45,0.9,12,6
2016,01/05,1.285251081647130,Foz do Iguaçu,30.0,0.45,0.9,12,6
2016,02/05,1.172006330836920,Foz do Iguaçu,30.0,0.45,0.9,12,6
2016,03/05,10.257616692538100,Foz do Iguaçu,30.0,0.45,0.9,12,6
2017,01/05,13.225575058478600,Foz do Iguaçu,30.0,0.45,0.9,12,6
2017,02/05,1.286343795485750,Foz do Iguaçu,30.0,0.45,0.9,12,6
2017,03/05,12.108274123819800,Foz do Iguaçu,30.0,0.45,0.9,12,6
2018,01/05,13.408339415675500,Foz do Iguaçu,30.0,0.45,0.9,12,6
2018,02/05,12.679026022253700,Foz do Iguaçu,30.0,0.45,0.9,12,6
2018,03/05,11.579186119467300,Foz do Iguaçu,30.0,0.45,0.9,12,6
2019,01/05,13.405525845897200,Foz do Iguaçu,30.0,0.45,0.9,12,6
2019,02/05,13.193625221930000,Foz do Iguaçu,30.0,0.45,0.9,12,6
2019,03/05,12.638346394526700,Foz do Iguaçu,30.0,0.45,0.9,12,6
2020,01/05,13.402238670184100,Foz do Iguaçu,30.0,0.45,0.9,12,6
2020,02/05,123.898023026737,Foz do Iguaçu,30.0,0.45,0.9,12,6
2020,03/05,11.456457846781300,Foz do Iguaçu,30.0,0.45,0.9,12,6
2021,01/05,12.740482786856500,Foz do Iguaçu,30.0,0.45,0.9,12,6
2021,02/05,13.222054321530800,Foz do Iguaçu,30.0,0.45,0.9,12,6
2021,03/05,12.194275117701000,Foz do Iguaçu,30.0,0.45,0.9,12,6
2022,01/05,13.318323216563400,Foz do Iguaçu,30.0,0.45,0.9,12,6
2022,02/05,11.937066343714400,Foz do Iguaçu,30.0,0.45,0.9,12,6
2022,03/05,10.985190739627800,Foz do Iguaçu,30.0,0.45,0.9,12,6
2023,01/05,1.347259549704390,Foz do Iguaçu,30.0,0.45,0.9,12,6
2023,02/05,13.279513600351200,Foz do Iguaçu,30.0,0.45,0.9,12,6
2023,03/05,1.255203645032690,Foz do Iguaçu,30.0,0.45,0.9,12,6
2024,01/05,13.532746680384900,Foz do Iguaçu,30.0,0.45,0.9,12,6
2024,02/05,1.276790571355850,Foz do Iguaçu,30.0,0.45,0.9,12,6
2024,03/05,12.012082734455700,Foz do Iguaçu,30.0,0.45,0.9,12,6
2015,01/05,1.326407358860060,Guaíra,30.0,0.45,0.9,12,6
2015,02/05,13.178636241187700,Guaíra,30.0,0.45,0.9,12,6
2015,03/05,1.264189171961340,Guaíra,30.0,0.45,0.9,12,6
2016,01/05,12.942185705972700,Guaíra,30.0,0.45,0.9,12,6
2016,02/05,11.992772990545600,Guaíra,30.0,0.45,0.9,12,6
2016,03/05,10.690757009899800,Guaíra,30.0,0.45,0.9,12,6
2017,01/05,13.214925440440300,Guaíra,30.0,0.45,0.9,12,6
2017,02/05,12.934037833808400,Guaíra,30.0,0.45,0.9,12,6
2017,03/05,1.232447895033300,Guaíra,30.0,0.45,0.9,12,6
2018,01/05,13.416919711354000,Guaíra,30.0,0.45,0.9,12,6
2018,02/05,12.925908992701600,Guaíra,30.0,0.45,0.9,12,6
2018,03/05,12.162816186165700,Guaíra,30.0,0.45,0.9,12,6
2019,01/05,13.416737529784300,Guaíra,30.0,0.45,0.9,12,6
2019,02/05,13.247527817878800,Guaíra,30.0,0.45,0.9,12,6
2019,03/05,12.870565647320100,Guaíra,30.0,0.45,0.9,12,6
2020,01/05,13.512646538984700,Guaíra,30.0,0.45,0.9,12,6
2020,02/05,12.860870257656200,Guaíra,30.0,0.45,0.9,12,6
2020,03/05,12.314093110317500,Guaíra,30.0,0.45,0.9,12,6
2021,01/05,13.490124982547000,Guaíra,30.0,0.45,0.9,12,6
2021,02/05,1.333158887644000,Guaíra,30.0,0.45,0.9,12,6
2021,03/05,12.378268666662900,Guaíra,30.0,0.45,0.9,12,6
2022,01/05,13.347157431155800,Guaíra,30.0,0.45,0.9,12,6
2022,02/05,12.225597089652100,Guaíra,30.0,0.45,0.9,12,6
2022,03/05,11.427655031278800,Guaíra,30.0,0.45,0.9,12,6
2023,01/05,13.495375337618800,Guaíra,30.0,0.45,0.9,12,6
2023,02/05,13.342598178601200,Guaíra,30.0,0.45,0.9,12,6
2023,03/05,12.546988294632600,Guaíra,30.0,0.45,0.9,12,6
2024,01/05,13.614994506256000,Guaíra,30.0,0.45,0.9,12,6
2024,02/05,13.178128556017700,Guaíra,30.0,0.45,0.9,12,6
2024,03/05,12.910807081482900,Guaíra,30.0,0.45,0.9,12,6
2015,01/05,13.244907437281800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2015,02/05,13.196703510216200,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2015,03/05,12.643509642017400,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2016,01/05,12.980603636377800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2016,02/05,1.208717416154250,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2016,03/05,10.794701688924300,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2017,01/05,13.216851528791400,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2017,02/05,1.297607784267760,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2017,03/05,12.408358986597100,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2018,01/05,1.342151181842590,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2018,02/05,1.300555954383150,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2018,03/05,12.236164182320600,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2019,01/05,13.404716374337800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2019,02/05,13.265572768060300,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2019,03/05,12.897044412469600,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2020,01/05,12.470357996906800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2020,02/05,1.280506985439220,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2020,03/05,12.249635869512200,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2021,01/05,13.520198001794700,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2021,02/05,13.380680104779200,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2021,03/05,12.563343442534500,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2022,01/05,13.328014862832800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2022,02/05,12.235031837774800,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2022,03/05,1.145760621988360,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
2023,01/05,1.351814100616080,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
