,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
0,2015,02/25,12.254446443161871,Cascavel,30.0,0.45,0.9,0.012,0.006
1,2016,02/25,9.366364643819434,Cascavel,30.0,0.45,0.9,0.012,0.006
2,2017,02/25,11.576679281864179,Cascavel,30.0,0.45,0.9,0.012,0.006
3,2018,02/25,11.18406135118336,Cascavel,30.0,0.45,0.9,0.012,0.006
4,2019,02/25,12.566530298555511,Cascavel,30.0,0.45,0.9,0.012,0.006
5,2020,02/25,11.377110510617506,Cascavel,30.0,0.45,0.9,0.012,0.006
6,2021,02/25,11.996457488091393,Cascavel,30.0,0.45,0.9,0.012,0.006
7,2022,02/25,10.370810507072315,Cascavel,30.0,0.45,0.9,0.012,0.006
8,2023,02/25,11.592297244969117,Cascavel,30.0,0.45,0.9,0.012,0.006
9,2024,02/25,12.461212485852432,Cascavel,30.0,0.45,0.9,0.012,0.006
10,2015,02/25,12.660510992375428,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
11,2016,02/25,10.516594485271506,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
12,2017,02/25,12.24434586248297,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
13,2018,02/25,11.76236731903735,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
14,2019,02/25,13.013410756020255,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
15,2020,02/25,11.879657295874647,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
16,2021,02/25,12.631219550188957,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
17,2022,02/25,11.117704594199932,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
18,2023,02/25,12.63552120205131,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
19,2024,02/25,12.45647756754165,Foz do Iguaçu,30.0,0.45,0.9,0.012,0.006
20,2015,02/25,12.865287511768265,Guaíra,30.0,0.45,0.9,0.012,0.006
21,2016,02/25,10.922684195297572,Guaíra,30.0,0.45,0.9,0.012,0.006
22,2017,02/25,12.449711848879684,Guaíra,30.0,0.45,0.9,0.012,0.006
23,2018,02/25,12.309377434853028,Guaíra,30.0,0.45,0.9,0.012,0.006
24,2019,02/25,13.134244949403133,Guaíra,30.0,0.45,0.9,0.012,0.006
25,2020,02/25,12.596003784793925,Guaíra,30.0,0.45,0.9,0.012,0.006
26,2021,02/25,12.79653037296932,Guaíra,30.0,0.45,0.9,0.012,0.006
27,2022,02/25,11.542121627458624,Guaíra,30.0,0.45,0.9,0.012,0.006
28,2023,02/25,12.6408912159774,Guaíra,30.0,0.45,0.9,0.012,0.006
29,2024,02/25,13.042634693651971,Guaíra,30.0,0.45,0.9,0.012,0.006
30,2015,02/25,12.856334580759512,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
31,2016,02/25,11.017889881571465,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
32,2017,02/25,12.52433417023636,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
33,2018,02/25,12.407658908557718,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
34,2019,02/25,13.159862638042188,Marechal Cândido Rondon,30.0,0.45,0.9,0.012,0.006
