,Unnamed: 0,Year,PlantingDate,YieldFresh_ton_ha,Municipio,WP,HI0,CCx,CGC,CDC
0,0,2015,03/25,11.043792167284500,Cascavel,30.0,0.45,0.9,12,6
1,1,2016,03/25,6.035510186245170,Cascavel,30.0,0.45,0.9,12,6
2,2,2017,03/25,10.394904084727100,Cascavel,30.0,0.45,0.9,12,6
3,3,2018,03/25,10.085511645216200,Cascavel,30.0,0.45,0.9,12,6
4,4,2019,03/25,11.099595274656100,Cascavel,30.0,0.45,0.9,12,6
5,5,2020,03/25,1.021590921322710,Cascavel,30.0,0.45,0.9,12,6
6,6,2021,03/25,10.296740193618300,Cascavel,30.0,0.45,0.9,12,6
7,7,2022,03/25,9.608961772003840,Cascavel,30.0,0.45,0.9,12,6
8,8,2023,03/25,10.859614882404100,Cascavel,30.0,0.45,0.9,12,6
9,9,2024,03/25,1.114165933877990,Cascavel,30.0,0.45,0.9,12,6
10,10,2015,03/25,11.924693055374100,Foz do Iguaçu,30.0,0.45,0.9,12,6
11,11,2016,03/25,9.457243789433190,Foz do Iguaçu,30.0,0.45,0.9,12,6
12,12,2017,03/25,11.556126708365600,Foz do Iguaçu,30.0,0.45,0.9,12,6
13,13,2018,03/25,1.099605100849260,Foz do Iguaçu,30.0,0.45,0.9,12,6
14,14,2019,03/25,11.842706691702300,Foz do Iguaçu,30.0,0.45,0.9,12,6
15,15,2020,03/25,10.806428161141400,Foz do Iguaçu,30.0,0.45,0.9,12,6
16,16,2021,03/25,1.131190380940770,Foz do Iguaçu,30.0,0.45,0.9,12,6
17,17,2022,03/25,10.539180848864600,Foz do Iguaçu,30.0,0.45,0.9,12,6
18,18,2023,03/25,12.094790117358700,Foz do Iguaçu,30.0,0.45,0.9,12,6
19,19,2024,03/25,108.493645991122,Foz do Iguaçu,30.0,0.45,0.9,12,6
20,20,2015,03/25,12.326045307853300,Guaíra,30.0,0.45,0.9,12,6
21,21,2016,03/25,100.935775033756,Guaíra,30.0,0.45,0.9,12,6
22,22,2017,03/25,1.177090042148780,Guaíra,30.0,0.45,0.9,12,6
23,23,2018,03/25,11.726274383503500,Guaíra,30.0,0.45,0.9,12,6
24,24,2019,03/25,12.282973875340900,Guaíra,30.0,0.45,0.9,12,6
25,25,2020,03/25,11.978358543012300,Guaíra,30.0,0.45,0.9,12,6
26,26,2021,03/25,1.153566792170560,Guaíra,30.0,0.45,0.9,12,6
27,27,2022,03/25,11.127674379012500,Guaíra,30.0,0.45,0.9,12,6
28,28,2023,03/25,12.182452337923000,Guaíra,30.0,0.45,0.9,12,6
29,29,2024,03/25,12.275563953753600,Guaíra,30.0,0.45,0.9,12,6
30,30,2015,03/25,123.358395422145,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
31,31,2016,03/25,1.017386211437150,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
32,32,2017,03/25,11.872845444389600,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
33,33,2018,03/25,11.776904838977100,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
34,34,2019,03/25,12.280370935145900,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
35,35,2020,03/25,11.870362814919500,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
36,36,2021,03/25,11.783984504584900,Marechal Cândido Rondon,30.0,0.45,0.9,12,6
