ano,indice_medio
1999,104.81638104490395
2000,112.19956741996128
2001,119.87454675291279
2002,130.00392038560184
2003,149.13329331065339
2004,158.9731072864257
2005,169.89484810551608
2006,177.0027634178159
2007,183.4480635781634
2008,193.86479182533307
2009,203.3411030196343
2010,213.58756631177587
2011,227.76201358035132
2012,240.0694364454854
2013,254.96387030985588
2014,271.1010059883721
2015,295.58183392221673
2016,321.41435846404437
2017,332.4912841481319
2018,344.67601406870045
2019,357.5429084701163
2020,369.025724072867
2021,399.66066649053386
2022,436.7489220460293
2023,456.8111143969609
2024,476.76196504829295
2025,500.67994366815856
2026,516.9335387484388
