data,valor,indice,ano,mes
1999-01-01,0.7,100.69999999999999,1999,1
1999-02-01,1.05,101.75734999999999,1999,2
1999-03-01,1.1,102.87668084999997,1999,3
1999-04-01,0.56,103.45279026275998,1999,4
1999-05-01,0.3,103.76314863354824,1999,5
1999-06-01,0.19,103.96029861595198,1999,6
1999-07-01,1.09,105.09346587086586,1999,7
1999-08-01,0.56,105.68198927974271,1999,8
1999-09-01,0.31,106.00960344650993,1999,9
1999-10-01,1.19,107.2711177275234,1999,10
1999-11-01,0.95,108.29019334593488,1999,11
1999-12-01,0.6,108.93993450601049,1999,12
2000-01-01,0.62,109.61536209994775,2000,1
2000-02-01,0.13,109.75786207067769,2000,2
2000-03-01,0.22,109.99932936723317,2000,3
2000-04-01,0.42,110.46132655057555,2000,4
2000-05-01,0.01,110.4723726832306,2000,5
2000-06-01,0.23,110.72645914040203,2000,6
2000-07-01,1.61,112.5091551325625,2000,7
2000-08-01,1.31,113.98302506479908,2000,8
2000-09-01,0.23,114.24518602244811,2000,9
2000-10-01,0.14,114.40512928287954,2000,10
2000-11-01,0.32,114.77122569658476,2000,11
2000-12-01,0.59,115.44837592819462,2000,12
2001-01-01,0.57,116.10643167098533,2001,1
2001-02-01,0.46,116.64052125667186,2001,2
2001-03-01,0.38,117.08375523744722,2001,3
2001-04-01,0.58,117.76284101782441,2001,4
2001-05-01,0.41,118.2456686659975,2001,5
2001-06-01,0.52,118.8605461430607,2001,6
2001-07-01,1.33,120.44139140676342,2001,7
2001-08-01,0.7,121.28448114661074,2001,8
2001-09-01,0.28,121.62407769382125,2001,9
2001-10-01,0.83,122.63355753867997,2001,10
2001-11-01,0.71,123.5042557972046,2001,11
2001-12-01,0.65,124.30703345988643,2001,12
2002-01-01,0.52,124.95343003387785,2002,1
2002-02-01,0.36,125.40326238199982,2002,2
2002-03-01,0.6,126.15568195629183,2002,3
2002-04-01,0.8,127.16492741194216,2002,4
2002-05-01,0.21,127.43197375950723,2002,5
2002-06-01,0.42,127.96718804929716,2002,6
2002-07-01,1.19,129.4899975870838,2002,7
2002-08-01,0.65,130.33168257139982,2002,8
2002-09-01,0.72,131.2700706859139,2002,9
2002-10-01,1.31,132.9897086118994,2002,10
2002-11-01,3.02,137.00599781197877,2002,11
2002-12-01,2.1,139.8831237660303,2002,12
