sercodigo,ano,mes,valor
DERAL12_PRMI12,1990,1,3.636e-05
DERAL12_PRMI12,1990,2,5.5175e-05
DERAL12_PRMI12,1990,3,8.5575e-05
DERAL12_PRMI12,1990,4,0.000105651
DERAL12_PRMI12,1990,5,0.000136196
DERAL12_PRMI12,1990,6,0.000163229
DERAL12_PRMI12,1990,7,0.000170044
DERAL12_PRMI12,1990,8,0.000216505
DERAL12_PRMI12,1990,9,0.000232713
DERAL12_PRMI12,1990,10,0.000261251
DERAL12_PRMI12,1990,11,0.000376964
DERAL12_PRMI12,1990,12,0.00039932
DERAL12_PRMI12,1991,1,0.000429189
DERAL12_PRMI12,1991,2,0.000475982
DERAL12_PRMI12,1991,3,0.000512578
DERAL12_PRMI12,1991,4,0.000624218
DERAL12_PRMI12,1991,5,0.000677455
DERAL12_PRMI12,1991,6,0.0006864
DERAL12_PRMI12,1991,7,0.000756655
DERAL12_PRMI12,1991,8,0.000898255
DERAL12_PRMI12,1991,9,0.001022618
DERAL12_PRMI12,1991,10,0.001505236
DERAL12_PRMI12,1991,11,0.001866109
DERAL12_PRMI12,1991,12,0.0020058
DERAL12_PRMI12,1992,1,0.002744727
DERAL12_PRMI12,1992,2,0.003032727
DERAL12_PRMI12,1992,3,0.003078764
DERAL12_PRMI12,1992,4,0.003593236
DERAL12_PRMI12,1992,5,0.004537964
DERAL12_PRMI12,1992,6,0.006063273
DERAL12_PRMI12,1992,7,0.007224873
DERAL12_PRMI12,1992,8,0.009315927
DERAL12_PRMI12,1992,9,0.013236436
DERAL12_PRMI12,1992,10,0.016949891
DERAL12_PRMI12,1992,11,0.021459927
DERAL12_PRMI12,1992,12,0.027894982
DERAL12_PRMI12,1993,1,0.033968073
DERAL12_PRMI12,1993,2,0.038350909
DERAL12_PRMI12,1993,3,0.0438
DERAL12_PRMI12,1993,4,0.058564364
DERAL12_PRMI12,1993,5,0.076927418
DERAL12_PRMI12,1993,6,0.100705091
DERAL12_PRMI12,1993,7,0.139036
DERAL12_PRMI12,1993,8,0.201163636
DERAL12_PRMI12,1993,9,0.263563636
DERAL12_PRMI12,1993,10,0.359563636
DERAL12_PRMI12,1993,11,0.498545455
DERAL12_PRMI12,1993,12,0.706036364
DERAL12_PRMI12,1994,1,0.929018182
DERAL12_PRMI12,1994,2,1.0968
DERAL12_PRMI12,1994,3,1.505890909
DERAL12_PRMI12,1994,4,2.186836364
DERAL12_PRMI12,1994,5,3.128072727
DERAL12_PRMI12,1994,6,4.539490909
DERAL12_PRMI12,1994,7,5.62
DERAL12_PRMI12,1994,8,5.61
DERAL12_PRMI12,1994,9,5.6
DERAL12_PRMI12,1994,10,6.0
DERAL12_PRMI12,1994,11,6.31
DERAL12_PRMI12,1994,12,6.33
DERAL12_PRMI12,1995,1,6.16
DERAL12_PRMI12,1995,2,5.22
DERAL12_PRMI12,1995,3,4.48
DERAL12_PRMI12,1995,4,4.89
DERAL12_PRMI12,1995,5,5.13
DERAL12_PRMI12,1995,6,5.17
DERAL12_PRMI12,1995,7,5.52
DERAL12_PRMI12,1995,8,5.73
DERAL12_PRMI12,1995,9,5.53
DERAL12_PRMI12,1995,10,6.04
DERAL12_PRMI12,1995,11,6.4
DERAL12_PRMI12,1995,12,6.4
DERAL12_PRMI12,1996,1,6.75
DERAL12_PRMI12,1996,2,6.23
DERAL12_PRMI12,1996,3,6.5
DERAL12_PRMI12,1996,4,7.39
DERAL12_PRMI12,1996,5,8.25
DERAL12_PRMI12,1996,6,7.99
DERAL12_PRMI12,1996,7,7.91
DERAL12_PRMI12,1996,8,8.05
DERAL12_PRMI12,1996,9,8.12
DERAL12_PRMI12,1996,10,7.97
DERAL12_PRMI12,1996,11,7.4
DERAL12_PRMI12,1996,12,6.63
DERAL12_PRMI12,1997,1,5.84
DERAL12_PRMI12,1997,2,5.63
DERAL12_PRMI12,1997,3,5.79
DERAL12_PRMI12,1997,4,6.11
DERAL12_PRMI12,1997,5,6.31
DERAL12_PRMI12,1997,6,6.16
DERAL12_PRMI12,1997,7,6.12
DERAL12_PRMI12,1997,8,6.24
DERAL12_PRMI12,1997,9,6.44
DERAL12_PRMI12,1997,10,6.67
DERAL12_PRMI12,1997,11,6.73
DERAL12_PRMI12,1997,12,6.78
DERAL12_PRMI12,1998,1,7.18
DERAL12_PRMI12,1998,2,7.13
DERAL12_PRMI12,1998,3,7.01
DERAL12_PRMI12,1998,4,7.14
DERAL12_PRMI12,1998,5,7.31
DERAL12_PRMI12,1998,6,7.16
DERAL12_PRMI12,1998,7,7.1
DERAL12_PRMI12,1998,8,7.05
DERAL12_PRMI12,1998,9,6.97
DERAL12_PRMI12,1998,10,7.0
DERAL12_PRMI12,1998,11,7.24
DERAL12_PRMI12,1998,12,7.72
DERAL12_PRMI12,1999,1,8.0
DERAL12_PRMI12,1999,2,8.23
DERAL12_PRMI12,1999,3,8.23
DERAL12_PRMI12,1999,4,8.17
DERAL12_PRMI12,1999,5,8.18
DERAL12_PRMI12,1999,6,8.18
DERAL12_PRMI12,1999,7,8.18
DERAL12_PRMI12,1999,8,8.15
DERAL12_PRMI12,1999,9,8.54
DERAL12_PRMI12,1999,10,9.47
DERAL12_PRMI12,1999,11,11.02
DERAL12_PRMI12,1999,12,11.33
DERAL12_PRMI12,2000,1,11.94
DERAL12_PRMI12,2000,2,11.38
DERAL12_PRMI12,2000,3,10.73
DERAL12_PRMI12,2000,4,10.54
DERAL12_PRMI12,2000,5,10.88
DERAL12_PRMI12,2000,6,10.49
DERAL12_PRMI12,2000,7,10.46
DERAL12_PRMI12,2000,8,11.54
DERAL12_PRMI12,2000,9,11.44
DERAL12_PRMI12,2000,10,11.24
DERAL12_PRMI12,2000,11,10.49
DERAL12_PRMI12,2000,12,8.54
DERAL12_PRMI12,2001,1,7.83
DERAL12_PRMI12,2001,2,7.16
DERAL12_PRMI12,2001,3,7.01
DERAL12_PRMI12,2001,4,7.12
DERAL12_PRMI12,2001,5,7.27
DERAL12_PRMI12,2001,6,7.78
DERAL12_PRMI12,2001,7,8.27
DERAL12_PRMI12,2001,8,9.22
DERAL12_PRMI12,2001,9,9.67
DERAL12_PRMI12,2001,10,9.92
DERAL12_PRMI12,2001,11,10.06
DERAL12_PRMI12,2001,12,10.19
DERAL12_PRMI12,2002,1,10.35
DERAL12_PRMI12,2002,2,10.87
DERAL12_PRMI12,2002,3,11.18
DERAL12_PRMI12,2002,4,11.42
DERAL12_PRMI12,2002,5,12.22
DERAL12_PRMI12,2002,6,12.62
DERAL12_PRMI12,2002,7,12.98
DERAL12_PRMI12,2002,8,13.88
DERAL12_PRMI12,2002,9,15.18
DERAL12_PRMI12,2002,10,18.62
DERAL12_PRMI12,2002,11,22.28
DERAL12_PRMI12,2002,12,20.83
DERAL12_PRMI12,2003,1,19.76
DERAL12_PRMI12,2003,2,19.95
DERAL12_PRMI12,2003,3,17.62
DERAL12_PRMI12,2003,4,16.83
DERAL12_PRMI12,2003,5,15.37
DERAL12_PRMI12,2003,6,14.65
DERAL12_PRMI12,2003,7,12.92
DERAL12_PRMI12,2003,8,13.02
DERAL12_PRMI12,2003,9,14.35
DERAL12_PRMI12,2003,10,14.19
DERAL12_PRMI12,2003,11,14.8282
DERAL12_PRMI12,2003,12,15.2512
DERAL12_PRMI12,2004,1,14.9064
DERAL12_PRMI12,2004,2,14.8142
DERAL12_PRMI12,2004,3,15.6727
DERAL12_PRMI12,2004,4,18.2029
DERAL12_PRMI12,2004,5,18.9578
DERAL12_PRMI12,2004,6,17.3686
DERAL12_PRMI12,2004,7,15.9698
DERAL12_PRMI12,2004,8,14.9656
DERAL12_PRMI12,2004,9,15.031
DERAL12_PRMI12,2004,10,14.2305
DERAL12_PRMI12,2004,11,13.4911
DERAL12_PRMI12,2004,12,12.7054
DERAL12_PRMI12,2005,1,13.0159
DERAL12_PRMI12,2005,2,13.3776
DERAL12_PRMI12,2005,3,15.7834
DERAL12_PRMI12,2005,4,16.2553
DERAL12_PRMI12,2005,5,15.9728
DERAL12_PRMI12,2005,6,15.9467
DERAL12_PRMI12,2005,7,15.8673
DERAL12_PRMI12,2005,8,15.0214
DERAL12_PRMI12,2005,9,14.5482
DERAL12_PRMI12,2005,10,13.0848
DERAL12_PRMI12,2005,11,11.7874
DERAL12_PRMI12,2005,12,11.5222
DERAL12_PRMI12,2006,1,11.8674
DERAL12_PRMI12,2006,2,12.67
DERAL12_PRMI12,2006,3,10.9455
DERAL12_PRMI12,2006,4,10.4405
DERAL12_PRMI12,2006,5,11.6903
DERAL12_PRMI12,2006,6,12.4533
DERAL12_PRMI12,2006,7,12.1229
DERAL12_PRMI12,2006,8,11.8087
DERAL12_PRMI12,2006,9,12.0256
DERAL12_PRMI12,2006,10,13.2573
DERAL12_PRMI12,2006,11,15.3991
DERAL12_PRMI12,2006,12,16.4359
DERAL12_PRMI12,2007,1,16.5582
DERAL12_PRMI12,2007,2,16.3314
DERAL12_PRMI12,2007,3,16.2519
DERAL12_PRMI12,2007,4,14.8296
DERAL12_PRMI12,2007,5,14.5403
DERAL12_PRMI12,2007,6,14.5954
DERAL12_PRMI12,2007,7,14.1447
DERAL12_PRMI12,2007,8,16.3444
DERAL12_PRMI12,2007,9,19.5805
DERAL12_PRMI12,2007,10,19.3921
DERAL12_PRMI12,2007,11,22.8241
DERAL12_PRMI12,2007,12,24.9363
DERAL12_PRMI12,2008,1,22.2042
DERAL12_PRMI12,2008,2,20.7081
DERAL12_PRMI12,2008,3,19.8638
DERAL12_PRMI12,2008,4,20.0193
DERAL12_PRMI12,2008,5,20.1262
DERAL12_PRMI12,2008,6,20.1713
DERAL12_PRMI12,2008,7,21.3077
DERAL12_PRMI12,2008,8,18.4371
DERAL12_PRMI12,2008,9,17.7211
DERAL12_PRMI12,2008,10,16.9753
DERAL12_PRMI12,2008,11,15.7187
DERAL12_PRMI12,2008,12,15.2212
DERAL12_PRMI12,2009,1,17.5614
DERAL12_PRMI12,2009,2,17.269
DERAL12_PRMI12,2009,3,16.1257
DERAL12_PRMI12,2009,4,16.4829
DERAL12_PRMI12,2009,5,17.4031
DERAL12_PRMI12,2009,6,17.2267
DERAL12_PRMI12,2009,7,15.4401
DERAL12_PRMI12,2009,8,14.7018
DERAL12_PRMI12,2009,9,14.5011
DERAL12_PRMI12,2009,10,15.1996
DERAL12_PRMI12,2009,11,15.5137
