municipio,data_semeadura,isna_medio,isna_desvio,n_anos,risco_climatico,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_economico,score_combinado
Anahy,05/02/,0.7493778837860363,0.11669267903811795,27,Baixo risco climático,7.7,-874.3410286090065,Viabilidade intermediária,0,1,1
Anahy,05/03/,0.7095964613767664,0.11167970104039568,27,Baixo risco climático,7.7,-871.1841435883041,Mais viável,0,0,0
Anahy,15/02/,0.7357809111323024,0.10309185782966507,27,Baixo risco climático,3.8,-885.6370173796405,Viabilidade intermediária,0,1,1
Anahy,15/03/,0.7163762380807691,0.10836721258146206,27,Baixo risco climático,3.8,-874.0480590468204,Viabilidade intermediária,0,1,1
Anahy,25/02/,0.7100115020839074,0.1088044930523155,27,Baixo risco climático,3.8,-874.8327992258588,Viabilidade intermediária,0,1,1
Anahy,25/03/,0.7088052239088216,0.12239379129376973,27,Baixo risco climático,3.8,-881.8922967460583,Viabilidade intermediária,0,1,1
Assis Chateaubriand,05/02/,0.7121457514299588,0.12515308963245914,27,Baixo risco climático,7.7,-908.7491295905592,Viabilidade intermediária,0,1,1
Assis Chateaubriand,05/03/,0.6916828756344694,0.11189638066049643,27,Baixo risco climático,7.7,-902.6834872947982,Viabilidade intermediária,0,1,1
Assis Chateaubriand,15/02/,0.7076627827713984,0.10750384575813364,27,Baixo risco climático,3.8,-938.7878662037591,Menos viável,0,2,2
Assis Chateaubriand,15/03/,0.6982641537006857,0.1121031829944386,27,Baixo risco climático,7.7,-920.158706361525,Menos viável,0,2,2
Assis Chateaubriand,25/02/,0.6893497333311531,0.10992955822480463,27,Baixo risco climático,7.7,-904.8731571881154,Viabilidade intermediária,0,1,1
Assis Chateaubriand,25/03/,0.6990632357662605,0.12222701361906853,27,Baixo risco climático,7.7,-911.0971123688212,Viabilidade intermediária,0,1,1
Boa Vista da Aparecida,05/02/,0.7571704753342134,0.10421183569640335,27,Baixo risco climático,3.8,-873.3012915861408,Mais viável,0,0,0
Boa Vista da Aparecida,05/03/,0.7430724633972594,0.09974922521160358,27,Baixo risco climático,3.8,-841.0285450917486,Mais viável,0,0,0
