municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico,produtividade_media_kg_ha,produtividade_desvio_kg_ha,classe_produtividade,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico,score_clima,score_produtividade,score_economico,score_integrado,componente_agroclimatico,topsis_score,classe_risco_topsis
Anahy,05/02/,0.7493778837860363,0.1166926790381179,27,0.4444444444444444,0.1481481481481481,0.3703703703703703,0.4074074074074074,0.0,0.2222222222222222,Inapto (risco > 40%),3259.204101596609,413.45254351390753,Alta produtividade prevista,50.0,55.25115332226336,Viabilidade intermediária,3,0,1,4,1.247709557098709,0.7241623267599837,Baixo risco integrado
Anahy,05/03/,0.7095964613767664,0.1116797010403957,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,1.0,0.0,0.4444444444444444,Risco climático 40%,3232.978568350648,471.6845821118121,Produtividade prevista intermediária,50.0,58.4080383429654,Mais viável,2,1,0,3,0.2902748205399058,0.6195174053372259,Risco integrado intermediário
Anahy,15/02/,0.7357809111323024,0.103091857829665,27,0.2962962962962963,0.037037037037037,0.2592592592592592,0.7407407407407407,0.0,0.2592592592592592,Risco climático 30%,3254.8949451432845,406.2367749539332,Alta produtividade prevista,50.0,43.95516455162894,Viabilidade intermediária,1,0,1,2,0.9407576480378254,0.6641260343423172,Risco integrado intermediário
Anahy,15/03/,0.7163762380807691,0.108367212581462,27,0.4814814814814814,0.2962962962962963,0.2592592592592592,1.0,0.037037037037037,0.5185185185185185,Inapto (risco > 40%),3242.164063756979,396.3562641527142,Alta produtividade prevista,50.0,55.54412288444907,Viabilidade intermediária,3,0,1,4,0.4740059241374448,0.6354563850997731,Risco integrado intermediário
Anahy,25/02/,0.7100115020839074,0.1088044930523154,27,0.3333333333333333,0.1111111111111111,0.2592592592592592,0.925925925925926,0.0,0.3703703703703703,Risco climático 40%,3243.538913607429,404.93671835857356,Alta produtividade prevista,50.0,54.75938270541096,Viabilidade intermediária,2,0,1,3,0.3451093436804273,0.6187396406657201,Risco integrado intermediário
Anahy,25/03/,0.7088052239088216,0.1223937912937696,27,0.5555555555555556,0.4814814814814814,0.1481481481481481,1.0,0.1481481481481481,0.4814814814814814,Inapto (risco > 40%),3224.5296778427855,383.3150515075837,Produtividade prevista intermediária,50.0,47.699885185211535,Viabilidade intermediária,3,1,1,5,0.23667241668603045,0.59165035554189,Risco integrado intermediário
Assis Chateaubriand,05/02/,0.7121457514299591,0.1251530896324591,27,0.5185185185185185,0.1851851851851851,0.4074074074074074,0.4074074074074074,0.0,0.1851851851851851,Inapto (risco > 40%),3123.4361289829976,514.5277907952618,Produtividade prevista intermediária,50.0,20.84305234071044,Viabilidade intermediária,3,1,1,5,-0.13325336532828003,0.4909149609058781,Risco integrado intermediário
Assis Chateaubriand,05/03/,0.6916828756344694,0.1118963806604964,27,0.4074074074074074,0.2592592592592592,0.2592592592592592,1.0,0.0,0.4074074074074074,Inapto (risco > 40%),3120.540632265542,615.8655590808606,Produtividade prevista intermediária,50.0,26.908694636471434,Viabilidade intermediária,3,1,1,5,-0.5795540903296083,0.4546449800528526,Risco integrado intermediário
Assis Chateaubriand,15/02/,0.7076627827713984,0.1075038457581336,27,0.2962962962962963,0.074074074074074,0.2592592592592592,0.7407407407407407,0.0,0.2222222222222222,Risco climático 30%,3067.014071978156,600.4674170286976,Baixa produtividade prevista,46.2,-9.195684272489425,Menos viável,1,2,2,5,-0.47423770983708236,0.3859845708668624,Alto risco integrado
Assis Chateaubriand,15/03/,0.6982641537006857,0.1121031829944386,27,0.6296296296296297,0.5185185185185185,0.1851851851851851,1.0,0.037037037037037,0.4074074074074074,Inapto (risco > 40%),3102.831127107635,586.1157077518908,Baixa produtividade prevista,46.2,9.433475569744528,Menos viável,3,2,2,7,-0.5172800763357605,0.4219446977883392,Alto risco integrado
Assis Chateaubriand,25/02/,0.6893497333311531,0.1099295582248046,27,0.3703703703703703,0.2222222222222222,0.1851851851851851,0.8888888888888888,0.0,0.2962962962962963,Risco climático 40%,3108.9533951502517,542.5307447361837,Produtividade prevista intermediária,46.2,24.719024743154343,Viabilidade intermediária,2,1,1,4,-0.679516474535744,0.43884404782452047,Alto risco integrado
Assis Chateaubriand,25/03/,0.6990632357662605,0.1222270136190685,27,0.7037037037037037,0.6296296296296297,0.1481481481481481,1.0,0.1481481481481481,0.4074074074074074,Inapto (risco > 40%),3125.6285395768855,557.4568190107506,Produtividade prevista intermediária,50.0,18.49506956244846,Viabilidade intermediária,3,1,1,5,-0.4009582498568482,0.4554399661928766,Risco integrado intermediário
Boa Vista da Aparecida,05/02/,0.7571704753342134,0.1042118356964033,27,0.4074074074074074,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0,0.3333333333333333,Inapto (risco > 40%),3260.4016995821667,350.65681171622,Alta produtividade prevista,50.0,56.2908903451288,Mais viável,3,0,0,3,1.4180819605270492,0.7450600823389694,Baixo risco integrado
Boa Vista da Aparecida,05/03/,0.7430724633972594,0.0997492252116035,27,0.3703703703703703,0.2592592592592592,0.1481481481481481,1.0,0.0,0.5925925925925926,Risco climático 40%,3310.941075692675,394.49070006324524,Alta produtividade prevista,50.0,88.56363683952107,Mais viável,2,0,0,2,1.339626520134742,0.8001973575654753,Baixo risco integrado
Boa Vista da Aparecida,15/02/,0.7472407744886106,0.0962708530555981,27,0.2222222222222222,0.037037037037037,0.1851851851851851,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%,3341.900707063746,344.28630772038053,Alta produtividade prevista,50.0,92.29326153229756,Mais viável,1,0,0,1,1.56293736292058,0.8343493886984255,Baixo risco integrado
Boa Vista da Aparecida,15/03/,0.7516551028725231,0.105215305114228,27,0.4444444444444444,0.3333333333333333,0.1111111111111111,1.0,0.037037037037037,0.5555555555555556,Inapto (risco > 40%),3323.660758053751,342.826191323235,Alta produtividade prevista,50.0,83.44712715730415,Mais viável,3,0,0,3,1.5769738743599482,0.8223363146595106,Baixo risco integrado
Boa Vista da Aparecida,25/02/,0.7346683293265843,0.0986506700555185,27,0.2592592592592592,0.1851851851851851,0.1111111111111111,0.9629629629629628,0.0,0.4444444444444444,Risco climático 30%,3323.4687694116856,310.83242667594993,Alta produtividade prevista,50.0,96.04146070925982,Mais viável,1,0,0,1,1.2161296218114759,0.7931158803049504,Baixo risco integrado
Boa Vista da Aparecida,25/03/,0.7461242747288542,0.1197616320394461,27,0.4814814814814814,0.4074074074074074,0.1111111111111111,1.0,0.1481481481481481,0.5555555555555556,Inapto (risco > 40%),3305.124175311395,339.21915773223975,Alta produtividade prevista,50.0,81.57021762644086,Mais viável,3,0,0,3,1.3789456425934794,0.7942882038099605,Baixo risco integrado
Braganey,05/02/,0.7750169967399642,0.1020588779249508,27,0.3333333333333333,0.1481481481481481,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%,3366.1048745647067,320.02229917190084,Alta produtividade prevista,50.0,79.79143309279267,Mais viável,2,0,0,2,2.2571289902767377,0.8876422054510601,Baixo risco integrado
