municipio,data_semeadura,risco_climatico,classe_produtividade,risco_economico,produtividade_media_kg_ha,score_integrado
Anahy,05/02/,Baixo risco climático,Alta produtividade prevista,Viabilidade intermediária,3259.204101596609,1
Assis Chateaubriand,25/03/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3125.6285395768855,2
Boa Vista da Aparecida,15/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3341.900707063746,0
Braganey,15/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3395.729345951314,0
Cafelândia,15/03/,Baixo risco climático,Alta produtividade prevista,Mais viável,3251.0641624230143,0
Campo Bonito,15/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3401.6684533215575,0
Capitão Leônidas Marques,25/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3274.123132711393,0
Cascavel,25/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3405.620391161045,0
Catanduvas,15/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3427.0191184730406,0
Corbélia,15/03/,Baixo risco climático,Alta produtividade prevista,Mais viável,3263.090646899644,0
Céu Azul,05/03/,Baixo risco climático,Alta produtividade prevista,Mais viável,3286.372866430226,0
Diamante D'Oeste,25/03/,Baixo risco climático,Baixa produtividade prevista,Menos viável,2947.003902803163,4
Diamante do Sul,15/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3436.361727899243,0
Entre Rios do Oeste,25/02/,Baixo risco climático,Baixa produtividade prevista,Menos viável,2975.2277180565106,4
Formosa do Oeste,05/02/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3213.8569160700026,2
Foz do Iguaçu,05/03/,Baixo risco climático,Produtividade prevista intermediária,Mais viável,3198.9094795549117,1
Guaraniaçu,15/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3425.4881266526913,0
Guaíra,25/03/,Baixo risco climático,Baixa produtividade prevista,Menos viável,3014.6938828201555,4
Ibema,15/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3413.9271836589764,0
Iguatu,05/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3267.6949231870717,0
Iracema do Oeste,05/02/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3222.56682817161,2
Itaipulândia,25/03/,Baixo risco climático,Baixa produtividade prevista,Menos viável,2935.80428665549,4
Jesuítas,05/02/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3222.903983273151,2
Lindoeste,25/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3284.679979892379,0
Marechal Cândido Rondon,25/02/,Baixo risco climático,Baixa produtividade prevista,Menos viável,2987.537531853114,4
Maripá,05/02/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3127.395365208658,2
Matelândia,25/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3279.695688622432,0
Medianeira,05/03/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3142.8942660545176,2
Mercedes,25/02/,Baixo risco climático,Baixa produtividade prevista,Menos viável,2966.732271102556,4
Missal,25/03/,Baixo risco climático,Baixa produtividade prevista,Menos viável,2930.213409331308,4
Nova Aurora,05/02/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3230.7418366117986,2
Nova Santa Rosa,25/03/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3126.134213525098,2
Ouro Verde do Oeste,05/03/,Baixo risco climático,Alta produtividade prevista,Mais viável,3265.132946756686,0
Palotina,05/02/,Baixo risco climático,Produtividade prevista intermediária,Menos viável,3112.437289861778,3
Pato Bragado,05/03/,Baixo risco climático,Baixa produtividade prevista,Menos viável,2964.0692407864494,4
Quatro Pontes,05/03/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3148.765560292379,2
Ramilândia,25/03/,Baixo risco climático,Baixa produtividade prevista,Menos viável,2948.2713687297137,4
Santa Helena,25/03/,Baixo risco climático,Baixa produtividade prevista,Menos viável,2907.035623564633,4
Santa Lúcia,25/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3281.8996124653368,0
Santa Tereza do Oeste,05/03/,Baixo risco climático,Alta produtividade prevista,Mais viável,3281.5350380750806,0
Santa Terezinha de Itaipu,05/03/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3112.439385053215,2
Serranópolis do Iguaçu,25/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3267.883090973464,0
São José das Palmeiras,25/03/,Baixo risco climático,Baixa produtividade prevista,Menos viável,2938.119274097802,4
São Miguel do Iguaçu,05/03/,Baixo risco climático,Baixa produtividade prevista,Viabilidade intermediária,3080.9198803381973,3
São Pedro do Iguaçu,05/03/,Baixo risco climático,Alta produtividade prevista,Mais viável,3268.50892382386,0
Terra Roxa,25/03/,Baixo risco climático,Baixa produtividade prevista,Menos viável,3023.3039996221332,4
Toledo,05/03/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3173.258581599409,2
Três Barras do Paraná,15/02/,Baixo risco climático,Alta produtividade prevista,Mais viável,3349.232777016311,0
Tupãssi,05/03/,Baixo risco climático,Produtividade prevista intermediária,Viabilidade intermediária,3163.0420569725625,2
Vera Cruz do Oeste,05/03/,Baixo risco climático,Alta produtividade prevista,Mais viável,3270.4844264167646,0
