municipio,data_semeadura,risco_climatico,isna_medio,risco_economico,pct_anos_cobre_custo,margem_media_rs_ha_100pct,margem_media_rs_ha_rateio50,margem_media_rs_ha_rateio_proporcional,margem_media_rs_ha_operacional_conab
Anahy,15/02/,Risco climático 30%,0.7357809111323024,Viabilidade intermediária,50.0,-885.6370173796408,15.460087981589473,182.3299223077433,43.95516455162894
Assis Chateaubriand,15/02/,Risco climático 30%,0.7076627827713984,Menos viável,46.2,-938.7878662037592,-37.69076084252893,129.1790734836248,-9.195684272489425
Boa Vista da Aparecida,15/02/,Risco climático 30%,0.7472407744886106,Mais viável,50.0,-837.2989203989721,63.79818496225805,230.66801928841176,92.29326153229756
Braganey,15/02/,Risco climático 30%,0.763423756721751,Mais viável,50.0,-839.2737892555584,61.82331610567156,228.69315043182536,90.31839267571114
Cafelândia,15/02/,Risco climático 40%,0.7222215252492826,Viabilidade intermediária,50.0,-891.5558833422352,9.541222018994825,176.4110563451486,38.03629858903439
Campo Bonito,15/02/,Risco climático 30%,0.7630902088812243,Mais viável,50.0,-837.7234184227698,63.37368693846035,230.2435212646141,91.86876350849982
Capitão Leônidas Marques,25/02/,Risco climático 30%,0.7328525414600455,Mais viável,46.2,-851.1678208107592,49.929284550471,216.7991188766248,78.42436112051051
Cascavel,15/02/,Risco climático 30%,0.7584233851814239,Mais viável,50.0,-838.576524654693,62.52058070653696,229.3904150326907,91.01565727657642
Catanduvas,15/02/,Risco climático 30%,0.7678353843316913,Mais viável,50.0,-830.0737390797332,71.02336628149698,237.8932006076508,99.51844285153658
Corbélia,15/02/,Risco climático 30%,0.7336000929667233,Viabilidade intermediária,50.0,-884.2519279717633,16.845177389466734,183.71501171562048,45.34025395950611
Céu Azul,25/02/,Risco climático 30%,0.7236931136665788,Mais viável,50.0,-857.1191595131281,43.977945848102,210.8477801742558,72.47302241814151
Diamante D'Oeste,25/03/,Inapto (risco > 40%),0.7122999577748649,Menos viável,42.3,-953.7102373506696,-52.61313198943932,114.25670233671444,-24.11805541939984
Diamante do Sul,15/02/,Risco climático 30%,0.7733917255924263,Mais viável,50.0,-825.2527468401834,75.84435852104664,242.71419284720048,104.33943509108619
Entre Rios do Oeste,15/02/,Risco climático 40%,0.6742949522972731,Menos viável,46.2,-968.7835965893051,-67.68649122807531,99.18334309807852,-39.191414658035754
Formosa do Oeste,15/02/,Risco climático 30%,0.7205828513635459,Viabilidade intermediária,50.0,-901.062980730857,0.0341246303731238,166.90395895652694,28.529201200412654
Foz do Iguaçu,05/03/,Inapto (risco > 40%),0.6640004914891117,Mais viável,50.0,-864.4872985917622,36.60980676946794,203.47964109562164,65.1048833395074
Guaraniaçu,15/02/,Risco climático 30%,0.7691029003139184,Mais viável,50.0,-830.5367662817191,70.5603390795111,237.4301734056649,99.05541564955068
