municipio,data_semeadura,componente_agroclimatico,margem_media_rs_ha,topsis_score,classe_risco_topsis
Anahy,05/02/,1.2477095570987091,-874.3410286090067,0.737269219067174,Baixo risco integrado
Assis Chateaubriand,05/02/,-0.13325336532828003,-908.7491295905592,0.48036493917500783,Risco integrado intermediário
Boa Vista da Aparecida,15/03/,1.5769738743599484,-846.1450547739654,0.7987836650179561,Baixo risco integrado
Braganey,05/02/,2.2571289902767377,-849.8007488384768,0.9249553269673618,Baixo risco integrado
Cafelândia,05/02/,0.8917855337774542,-879.2693566661035,0.6711125196593425,Baixo risco integrado
Campo Bonito,05/02/,2.2767599406364574,-848.4144025156749,0.9286248464492454,Baixo risco integrado
Capitão Leônidas Marques,25/03/,1.3210860693433457,-866.1951510769347,0.7510104461435719,Baixo risco integrado
Cascavel,05/02/,2.1331082772532968,-851.5678447569699,0.9019473450572029,Baixo risco integrado
Catanduvas,05/02/,2.482620603825662,-838.6499459561107,0.9669549190628305,Baixo risco integrado
Corbélia,05/02/,1.2157859741775778,-873.4944146161153,0.7313548437503967,Baixo risco integrado
Céu Azul,15/03/,1.1182901054192864,-867.5694359465168,0.7133319221458434,Baixo risco integrado
Diamante D'Oeste,25/03/,-0.8991511843430049,-953.7102373506696,0.33753631754688745,Alto risco integrado
Diamante do Sul,05/02/,2.6587247159219256,-835.8134452514701,0.9963025239941301,Baixo risco integrado
Entre Rios do Oeste,25/03/,-1.4773584767846895,-955.2078374530976,0.2301351252286218,Alto risco integrado
Formosa do Oeste,05/02/,0.745073770096789,-885.7174615202828,0.643780363066754,Risco integrado intermediário
Foz do Iguaçu,25/03/,-0.3537578039378361,-887.7455673274435,0.43973065398338645,Risco integrado intermediário
Guaraniaçu,05/02/,2.4917264310993703,-840.8353850057622,0.9685393053789529,Baixo risco integrado
Guaíra,05/02/,-1.352136793211324,-942.5475899420962,0.2535738360678069,Alto risco integrado
Ibema,05/02/,2.3415387384061788,-843.8054939999488,0.9407349228472717,Baixo risco integrado
Iguatu,05/02/,1.3421229213642698,-872.3551506310534,0.7548264568659981,Baixo risco integrado
Iracema do Oeste,05/02/,0.7784754034865211,-883.7483250019887,0.6500099971398783,Baixo risco integrado
Itaipulândia,25/03/,-1.2547330359882911,-955.2068604273762,0.27147652263970085,Alto risco integrado
Jesuítas,05/02/,0.8228037218707327,-884.0258708681779,0.6582373591448298,Baixo risco integrado
Lindoeste,25/03/,1.473331730400417,-862.7167493851583,0.7793288444544139,Baixo risco integrado
Marechal Cândido Rondon,25/03/,-1.2417731517433113,-956.9647317617716,0.2738611540048586,Alto risco integrado
Maripá,05/02/,-0.08129585666757791,-907.594878709923,0.49002883726439345,Risco integrado intermediário
Matelândia,25/03/,1.3176563118030618,-867.7005549122271,0.7503525376030847,Baixo risco integrado
Medianeira,25/03/,0.3095001265990101,-897.0886875133344,0.5627411306435763,Risco integrado intermediário
Mercedes,25/03/,-1.307134044183486,-960.1078052502128,0.26168275109687344,Alto risco integrado
Missal,25/03/,-1.2804312392613209,-957.1263179086898,0.2666793090494095,Alto risco integrado
Nova Aurora,05/02/,0.8897400501684459,-881.9026426743977,0.6706961427713791,Baixo risco integrado
Nova Santa Rosa,05/02/,-0.08685054203734323,-907.7743811525652,0.4889949078737482,Risco integrado intermediário
Ouro Verde do Oeste,15/03/,0.8960867780126827,-874.9694008469667,0.6719691813430271,Baixo risco integrado
Palotina,05/02/,-0.17711499577522385,-911.201381993682,0.47218631421208374,Risco integrado intermediário
Pato Bragado,25/03/,-1.711349452943162,-954.5631183648889,0.18671095881188082,Alto risco integrado
Quatro Pontes,05/02/,0.023145448556032386,-904.8890252973728,0.5094599315545821,Risco integrado intermediário
Ramilândia,25/03/,-1.2123988251621274,-953.2446149313438,0.279364104314873,Alto risco integrado
Santa Helena,25/03/,-1.4449138653227367,-962.3596162698096,0.23606472379084223,Alto risco integrado
Santa Lúcia,25/03/,1.4423518431450648,-863.7747558806151,0.7735615315107777,Baixo risco integrado
Santa Tereza do Oeste,15/03/,0.9749661264531617,-868.2119192743448,0.6867055303740632,Baixo risco integrado
Santa Terezinha de Itaipu,25/03/,-0.13595089244747777,-904.581994920314,0.47992204477745737,Risco integrado intermediário
Serranópolis do Iguaçu,25/03/,1.2694385383844813,-867.5608049284638,0.741401091574016,Baixo risco integrado
São José das Palmeiras,25/03/,-0.9205972384182309,-956.2675582800468,0.3335225875887247,Alto risco integrado
São Miguel do Iguaçu,25/03/,-0.1483327657703504,-909.932725478946,0.4775484435834136,Risco integrado intermediário
São Pedro do Iguaçu,15/03/,0.9017209538517316,-873.6788332240753,0.6730324650470448,Baixo risco integrado
Terra Roxa,05/02/,-1.624102594925226,-944.4431493236724,0.2030793477616582,Alto risco integrado
Toledo,05/02/,-0.05113676839325063,-903.336949507564,0.4956880066868687,Risco integrado intermediário
Três Barras do Paraná,15/02/,1.7519496134049144,-837.608227924087,0.8313737448244568,Baixo risco integrado
Tupãssi,05/02/,-0.0642018978280536,-903.9934501541328,0.49325289157168445,Risco integrado intermediário
Vera Cruz do Oeste,15/03/,0.9624168998885734,-871.6585979615415,0.6843308343748348,Baixo risco integrado
