municipio,data_semeadura,componente_agroclimatico,margem_media_rs_ha,topsis_score,classe_risco_topsis
Anahy,05/02/,1.247709557098709,55.25115332226336,0.7241623267599837,Baixo risco integrado
Assis Chateaubriand,05/02/,-0.13325336532828003,20.84305234071044,0.4909149609058781,Risco integrado intermediário
Boa Vista da Aparecida,15/02/,1.56293736292058,92.29326153229756,0.8343493886984255,Baixo risco integrado
Braganey,15/02/,2.140578475693405,90.31839267571114,0.9040249111658416,Baixo risco integrado
Cafelândia,05/02/,0.8917855337774542,50.32282526516606,0.6730370819883231,Baixo risco integrado
Campo Bonito,15/02/,2.1594013317464458,91.86876350849982,0.9095684965583257,Baixo risco integrado
Capitão Leônidas Marques,25/03/,1.3210860693433455,63.39703085433491,0.7509432673256429,Baixo risco integrado
Cascavel,15/02/,2.045589113886707,91.01565727657642,0.8942698730778467,Baixo risco integrado
Catanduvas,15/02/,2.370485288114777,99.51844285153658,0.9503680055436213,Baixo risco integrado
Corbélia,05/02/,1.2157859741775776,56.09776731515426,0.7225837475569237,Baixo risco integrado
Céu Azul,05/03/,0.983550394233632,79.21280477293924,0.7407961020080346,Baixo risco integrado
Diamante D'Oeste,25/03/,-0.8991511843430049,-24.11805541939984,0.3053759135665573,Alto risco integrado
Diamante do Sul,15/02/,2.5289725979509012,104.3394350910862,0.9789300824855502,Baixo risco integrado
Entre Rios do Oeste,25/02/,-1.8827532458741425,-3.623083037550067,0.2521148049004919,Alto risco integrado
Formosa do Oeste,05/02/,0.745073770096789,43.874720410986725,0.6420034248449129,Risco integrado intermediário
Foz do Iguaçu,25/03/,-0.3537578039378361,41.84661460382626,0.512255060858988,Risco integrado intermediário
Guaraniaçu,15/02/,2.3906738021238962,99.05541564955068,0.9518561252453918,Baixo risco integrado
Guaíra,25/03/,-1.3880432485344454,4.50095640302576,0.31758880603354406,Alto risco integrado
Ibema,15/02/,2.2319876613406118,95.98414107005556,0.9266240842214116,Baixo risco integrado
Iguatu,05/02/,1.3421229213642696,57.23703130021614,0.7391487534864989,Baixo risco integrado
Iracema do Oeste,05/02/,0.7784754034865211,45.84385692928102,0.6501889608387189,Risco integrado intermediário
Itaipulândia,25/03/,-1.2547330359882913,-25.614678496106556,0.26024478211228386,Alto risco integrado
Jesuítas,05/02/,0.8228037218707327,45.566311063091725,0.654591481513574,Risco integrado intermediário
Lindoeste,25/03/,1.4733317304004168,66.87543254611118,0.7759608355468961,Baixo risco integrado
Marechal Cândido Rondon,25/02/,-1.5654812478099072,-1.1587208843180774,0.28626350375419035,Alto risco integrado
Maripá,05/02/,-0.08129585666757792,21.99730322134682,0.499383143898881,Risco integrado intermediário
Matelândia,25/03/,1.3176563118030615,61.89162701904282,0.7471781586331045,Baixo risco integrado
Medianeira,25/03/,0.3095001265990101,32.50349441793523,0.5671790064462292,Risco integrado intermediário
Mercedes,25/02/,-1.6626141864025472,-7.532510137532077,0.26062185706168184,Alto risco integrado
Missal,25/03/,-1.280431239261321,-27.53413597742008,0.25318667000597717,Alto risco integrado
Nova Aurora,05/02/,0.8897400501684459,47.68953925687163,0.6669241188668751,Baixo risco integrado
Nova Santa Rosa,05/02/,-0.08685054203734324,21.817800778704388,0.498352718984306,Risco integrado intermediário
Ouro Verde do Oeste,05/03/,0.7538725431177807,74.54658811215096,0.7046242840281748,Baixo risco integrado
Palotina,05/02/,-0.17711499577522385,18.39079993758765,0.4804697395349825,Risco integrado intermediário
Pato Bragado,25/02/,-2.1314526578683566,-3.705614270657485,0.23379333187684687,Alto risco integrado
Quatro Pontes,05/02/,0.02314544855603237,24.703156633896704,0.5172699036018601,Risco integrado intermediário
Ramilândia,25/03/,-1.2123988251621276,-23.652433000074325,0.2693590439588382,Alto risco integrado
Santa Helena,25/03/,-1.444913865322737,-32.76743433854005,0.22291151122121575,Alto risco integrado
Santa Lúcia,25/03/,1.4423518431450646,65.81742605065457,0.7700832479236323,Baixo risco integrado
Santa Tereza do Oeste,05/03/,0.8199089448664524,78.43738762745674,0.7191755782637218,Baixo risco integrado
Santa Terezinha de Itaipu,25/03/,-0.13595089244747383,25.010187010955903,0.49988915418895963,Risco integrado intermediário
Serranópolis do Iguaçu,25/03/,1.269438538384483,62.031377002805655,0.742032314002028,Baixo risco integrado
São José das Palmeiras,25/03/,-0.9205972384182309,-26.675376348777014,0.2977854640690347,Alto risco integrado
São Miguel do Iguaçu,25/03/,-0.1483327657703504,19.65945645232347,0.4865648636866041,Risco integrado intermediário
São Pedro do Iguaçu,05/03/,0.7542064601616381,75.68692136248495,0.7065764458419846,Baixo risco integrado
Terra Roxa,25/03/,-1.6492975107732986,4.59572984715195,0.2937045948957205,Alto risco integrado
Toledo,05/02/,-0.051136768393250646,26.255232423705863,0.5122762002640342,Risco integrado intermediário
Três Barras do Paraná,15/02/,1.7519496134049142,91.98395400718285,0.8586696950172164,Baixo risco integrado
Tupãssi,05/02/,-0.06420189782805362,25.598731777137047,0.509335203657427,Risco integrado intermediário
Vera Cruz do Oeste,05/03/,0.8107858201819483,75.65586583164898,0.7134935994712958,Baixo risco integrado
