municipio,data_semeadura_100pct,data_semeadura_rateio50,data_semeadura_rateio_proporcional
Anahy,05/02/,05/02/,05/02/
Assis Chateaubriand,05/02/,05/02/,05/02/
Boa Vista da Aparecida,15/03/,15/02/,15/03/
Braganey,05/02/,15/02/,05/02/
Cafelândia,05/02/,05/02/,05/02/
Campo Bonito,05/02/,15/02/,05/02/
Capitão Leônidas Marques,25/03/,25/03/,25/03/
Cascavel,05/02/,15/02/,05/02/
Catanduvas,05/02/,15/02/,05/02/
Corbélia,05/02/,05/02/,05/02/
Céu Azul,15/03/,05/03/,15/03/
Diamante D'Oeste,25/03/,25/03/,25/03/
Diamante do Sul,05/02/,15/02/,05/02/
Entre Rios do Oeste,25/03/,25/02/,25/03/
Formosa do Oeste,05/02/,05/02/,05/02/
Foz do Iguaçu,25/03/,05/03/,25/03/
Guaraniaçu,05/02/,15/02/,05/02/
Guaíra,05/02/,25/03/,25/03/
Ibema,05/02/,15/02/,05/02/
Iguatu,05/02/,05/02/,05/02/
Iracema do Oeste,05/02/,05/02/,05/02/
Itaipulândia,25/03/,25/03/,25/03/
Jesuítas,05/02/,05/02/,05/02/
Lindoeste,25/03/,25/03/,25/03/
Marechal Cândido Rondon,25/03/,25/02/,25/03/
Maripá,05/02/,05/02/,05/02/
Matelândia,25/03/,25/02/,25/03/
Medianeira,25/03/,25/03/,25/03/
Mercedes,25/03/,25/02/,25/03/
Missal,25/03/,25/03/,25/03/
Nova Aurora,05/02/,05/02/,05/02/
Nova Santa Rosa,05/02/,05/02/,05/02/
Ouro Verde do Oeste,15/03/,05/03/,15/03/
Palotina,05/02/,05/02/,05/02/
Pato Bragado,25/03/,25/02/,25/03/
Quatro Pontes,05/02/,05/02/,05/02/
Ramilândia,25/03/,25/03/,25/03/
Santa Helena,25/03/,25/03/,25/03/
Santa Lúcia,25/03/,25/03/,25/03/
Santa Tereza do Oeste,15/03/,05/03/,15/03/
Santa Terezinha de Itaipu,25/03/,25/03/,25/03/
Serranópolis do Iguaçu,25/03/,25/03/,25/03/
São José das Palmeiras,25/03/,25/03/,25/03/
São Miguel do Iguaçu,25/03/,25/03/,25/03/
São Pedro do Iguaçu,15/03/,05/03/,15/03/
Terra Roxa,05/02/,25/03/,25/03/
Toledo,05/02/,05/03/,05/02/
Três Barras do Paraná,15/02/,15/02/,15/02/
Tupãssi,05/02/,05/02/,05/02/
Vera Cruz do Oeste,15/03/,05/03/,15/03/
