municipio,ano,data_semeadura,produtividade_prevista_kg_ha
Anahy,1999,05/02/,3412.30024006262
Anahy,1999,15/02/,3478.1316831222593
Anahy,1999,25/02/,3452.1638495308134
Anahy,1999,05/03/,3353.7343325978604
Anahy,1999,15/03/,3332.079940520772
Anahy,1999,25/03/,3375.107155090344
Anahy,2000,05/02/,3263.4868028867936
Anahy,2000,15/02/,3460.033233953179
Anahy,2000,25/02/,3315.1298106163717
Anahy,2000,05/03/,3314.5739627630137
Anahy,2000,15/03/,3334.131501706145
Anahy,2000,25/03/,3269.7939192443105
Anahy,2001,05/02/,3710.707182819656
Anahy,2001,15/02/,3668.084978279395
Anahy,2001,25/02/,3585.3143447667585
Anahy,2001,05/03/,3564.942315244143
Anahy,2001,15/03/,3335.6315272977404
Anahy,2001,25/03/,3306.524820935191
Anahy,2002,05/02/,2820.206236174675
Anahy,2002,15/02/,2770.6425204268226
Anahy,2002,25/02/,2694.465030995573
Anahy,2002,05/03/,2796.4207362320526
Anahy,2002,15/03/,2699.1938651169708
Anahy,2002,25/03/,2854.3242210326243
Anahy,2003,05/02/,3597.0930309315563
Anahy,2003,15/02/,3448.2192533395696
Anahy,2003,25/02/,3337.729788807191
Anahy,2003,05/03/,3381.020085176955
Anahy,2003,15/03/,3363.25480988041
Anahy,2003,25/03/,3292.783174958678
Anahy,2004,05/02/,2953.5330174035676
Anahy,2004,15/02/,2768.8713864746314
Anahy,2004,25/02/,2678.509553669994
Anahy,2004,05/03/,2995.150667636066
Anahy,2004,15/03/,2726.421564445421
Anahy,2004,25/03/,2979.130375824587
Anahy,2005,05/02/,2592.5775026882834
Anahy,2005,15/02/,2620.4419586877807
Anahy,2005,25/02/,3049.541674270658
Anahy,2005,05/03/,2459.758056485239
Anahy,2005,15/03/,2792.0792051087833
Anahy,2005,25/03/,2867.7263168609365
Anahy,2006,05/02/,3492.225156864395
Anahy,2006,15/02/,3449.3560743536827
Anahy,2006,25/02/,3427.2800612025962
Anahy,2006,05/03/,3421.531183040818
Anahy,2006,15/03/,3273.293885067408
Anahy,2006,25/03/,3379.321172226131
Anahy,2007,05/02/,3182.1079176806666
Anahy,2007,15/02/,3239.917469172035
Anahy,2007,25/02/,3136.6783415125565
Anahy,2007,05/03/,3138.872078468292
Anahy,2007,15/03/,3126.3272834968425
Anahy,2007,25/03/,3109.6759290643517
Anahy,2008,05/02/,3221.331103827803
Anahy,2008,15/02/,3253.3071377421215
Anahy,2008,25/02/,3196.7497955848376
Anahy,2008,05/03/,3245.515206278268
Anahy,2008,15/03/,3272.1818312405103
Anahy,2008,25/03/,3135.3239337187138
Anahy,2009,05/02/,2724.12640830839
Anahy,2009,15/02/,2704.5501736211772
Anahy,2009,25/02/,2490.4230674426562
Anahy,2009,05/03/,2412.668969447117
Anahy,2009,15/03/,2574.3590532345233
Anahy,2009,25/03/,2594.8258939913503
Anahy,2010,05/02/,3396.149050678105
Anahy,2010,15/02/,3452.0321227304444
Anahy,2010,25/02/,3315.9670277729683
Anahy,2010,05/03/,3352.732871842404
Anahy,2010,15/03/,3331.3622549730094
Anahy,2010,25/03/,3258.488438938961
Anahy,2011,05/02/,3570.3399086214213
Anahy,2011,15/02/,3470.5917744448443
Anahy,2011,25/02/,3344.25635776548
Anahy,2011,05/03/,3348.2178914815267
Anahy,2011,15/03/,3424.7798825595364
Anahy,2011,25/03/,3420.30968500647
Anahy,2012,05/02/,2163.4680057349183
Anahy,2012,15/02/,2071.2430909163772
Anahy,2012,25/02/,2279.2241938893712
Anahy,2012,05/03/,1872.3530480614459
Anahy,2012,15/03/,2325.9565479811913
Anahy,2012,25/03/,2358.798665144692
Anahy,2013,05/02/,3536.1719005921173
Anahy,2013,15/02/,3531.2726608865037
Anahy,2013,25/02/,3577.0834799927193
Anahy,2013,05/03/,3486.9937472994993
Anahy,2013,15/03/,3434.463513281773
Anahy,2013,25/03/,3572.195059288291
Anahy,2014,05/02/,3319.402270671082
Anahy,2014,15/02/,3496.562356433907
Anahy,2014,25/02/,3496.779670716863
Anahy,2014,05/03/,3474.2303043025545
Anahy,2014,15/03/,3543.8266811105086
Anahy,2014,25/03/,3395.5035783941576
Anahy,2015,05/02/,3439.3620728552
Anahy,2015,15/02/,3377.689558758042
Anahy,2015,25/02/,3333.870105208067
Anahy,2015,05/03/,3362.2898677170056
Anahy,2015,15/03/,3308.2863926629243
Anahy,2015,25/03/,3335.4308457414177
Anahy,2016,05/02/,3390.3169927443296
Anahy,2016,15/02/,3437.769236138399
Anahy,2016,25/02/,3437.419845517727
Anahy,2016,05/03/,3406.891433452378
Anahy,2016,15/03/,3440.564506288332
Anahy,2016,25/03/,3464.484718650602
Anahy,2017,05/02/,3958.429697118069
Anahy,2017,15/02/,4040.34943844215
Anahy,2017,25/02/,4054.1795181150324
Anahy,2017,05/03/,4066.0210733128747
Anahy,2017,15/03/,4092.7530125067838
Anahy,2017,25/03/,4073.400037775283
Anahy,2018,05/02/,3610.9857183855747
Anahy,2018,15/02/,3541.088319289704
Anahy,2018,25/02/,3465.559511854549
Anahy,2018,05/03/,3420.199801597199
Anahy,2018,15/03/,3538.538194799964
Anahy,2018,25/03/,3391.481370699559
Anahy,2019,05/02/,2940.726180420819
Anahy,2019,15/02/,3133.1123545869227
Anahy,2019,25/02/,2875.978995974417
Anahy,2019,05/03/,2661.7065687685686
Anahy,2019,15/03/,2665.0891288170465
Anahy,2019,25/03/,2434.1001575258542
Anahy,2020,05/02/,4033.568155174736
Anahy,2020,15/02/,3751.3722584473994
Anahy,2020,25/02/,3907.2370427005344
Anahy,2020,05/03/,4084.913139116825
Anahy,2020,15/03/,3977.799944611441
Anahy,2020,25/03/,3998.4364949479104
Anahy,2021,05/02/,3236.258296160677
Anahy,2021,15/02/,3110.0284254108137
Anahy,2021,25/02/,3143.083084105292
Anahy,2021,05/03/,3191.107332902963
Anahy,2021,15/03/,3215.607171446797
Anahy,2021,25/03/,3152.0751841843035
Anahy,2022,05/02/,3031.3434956640986
Anahy,2022,15/02/,3203.1851897359634
Anahy,2022,25/02/,3712.4574877998753
Anahy,2022,05/03/,3701.3705052749706
Anahy,2022,15/03/,3466.436026423585
Anahy,2022,25/03/,3227.918883499114
Anahy,2023,05/02/,3459.508575503302
Anahy,2023,15/02/,3308.7857931545245
Anahy,2023,25/02/,3296.4299875394463
Anahy,2023,05/03/,3361.806320984936
Anahy,2023,15/03/,3414.8521533427033
Anahy,2023,25/03/,3362.39944092964
Anahy,2024,05/02/,2915.0287697049725
Anahy,2024,15/02/,2916.840959849963
Anahy,2024,25/02/,2952.856380111424
Anahy,2024,05/03/,3205.440588234147
Anahy,2024,15/03/,3274.035695906947
Anahy,2024,25/03/,3147.3936564071983
Anahy,2025,05/02/,3027.757053430599
Anahy,2025,15/02/,3178.684110470063
Anahy,2025,25/02/,3019.1826599368187
Anahy,2025,05/03/,3209.9592577483613
Anahy,2025,15/03/,3255.1241476103582
Anahy,2025,25/03/,3305.3481716745473
Assis Chateaubriand,1999,05/02/,3135.577925819853
Assis Chateaubriand,1999,15/02/,3399.629417565562
Assis Chateaubriand,1999,25/02/,3130.4201670075604
Assis Chateaubriand,1999,05/03/,3157.8146836272285
Assis Chateaubriand,1999,15/03/,3272.2222494519706
Assis Chateaubriand,1999,25/03/,3253.4718791271825
Assis Chateaubriand,2000,05/02/,3080.100691287904
Assis Chateaubriand,2000,15/02/,3333.018857910519
Assis Chateaubriand,2000,25/02/,3302.158230277155
Assis Chateaubriand,2000,05/03/,3288.955146874981
Assis Chateaubriand,2000,15/03/,3296.985482097893
Assis Chateaubriand,2000,25/03/,3154.5143567565765
Assis Chateaubriand,2001,05/02/,3556.8512876791656
Assis Chateaubriand,2001,15/02/,3574.8899737346624
Assis Chateaubriand,2001,25/02/,3539.1518110896072
Assis Chateaubriand,2001,05/03/,3382.9754202312092
Assis Chateaubriand,2001,15/03/,3311.3289991628926
Assis Chateaubriand,2001,25/03/,3304.9779755038153
Assis Chateaubriand,2002,05/02/,2525.396647925952
Assis Chateaubriand,2002,15/02/,2499.9857788705467
Assis Chateaubriand,2002,25/02/,2252.2326549682703
Assis Chateaubriand,2002,05/03/,2326.025184864923
Assis Chateaubriand,2002,15/03/,2405.025354779983
Assis Chateaubriand,2002,25/03/,2565.2248540551295
Assis Chateaubriand,2003,05/02/,3560.829991416592
Assis Chateaubriand,2003,15/02/,3273.614384483264
Assis Chateaubriand,2003,25/02/,3307.951651790216
Assis Chateaubriand,2003,05/03/,3335.341387177754
Assis Chateaubriand,2003,15/03/,3198.143438847068
Assis Chateaubriand,2003,25/03/,2998.989811850822
Assis Chateaubriand,2004,05/02/,2999.4692022220006
Assis Chateaubriand,2004,15/02/,2545.6812125965735
Assis Chateaubriand,2004,25/02/,2552.352901095952
Assis Chateaubriand,2004,05/03/,2724.9424498253316
Assis Chateaubriand,2004,15/03/,2427.851430916873
Assis Chateaubriand,2004,25/03/,2699.486592767273
Assis Chateaubriand,2005,05/02/,2234.766990763522
Assis Chateaubriand,2005,15/02/,1877.9226293685024
Assis Chateaubriand,2005,25/02/,2319.9667569370918
Assis Chateaubriand,2005,05/03/,1948.9515932462168
Assis Chateaubriand,2005,15/03/,2229.434321843385
Assis Chateaubriand,2005,25/03/,2576.5207672126794
Assis Chateaubriand,2006,05/02/,3320.862078941753
Assis Chateaubriand,2006,15/02/,3289.2708307065645
Assis Chateaubriand,2006,25/02/,3320.121614695156
Assis Chateaubriand,2006,05/03/,3351.772960520048
Assis Chateaubriand,2006,15/03/,3246.081548901712
Assis Chateaubriand,2006,25/03/,3327.799034802161
Assis Chateaubriand,2007,05/02/,3119.652491625891
Assis Chateaubriand,2007,15/02/,3040.118938193936
Assis Chateaubriand,2007,25/02/,3052.3322423541417
Assis Chateaubriand,2007,05/03/,3013.047437840717
Assis Chateaubriand,2007,15/03/,3031.214492656423
Assis Chateaubriand,2007,25/03/,3047.3356218673807
Assis Chateaubriand,2008,05/02/,3146.318071903902
Assis Chateaubriand,2008,15/02/,3118.1494740157955
Assis Chateaubriand,2008,25/02/,3134.676974841292
Assis Chateaubriand,2008,05/03/,3146.2418796689626
Assis Chateaubriand,2008,15/03/,3102.5831785334567
Assis Chateaubriand,2008,25/03/,3153.109902154263
Assis Chateaubriand,2009,05/02/,2264.6896053355604
Assis Chateaubriand,2009,15/02/,2239.8495120106254
Assis Chateaubriand,2009,25/02/,2233.2938429437413
Assis Chateaubriand,2009,05/03/,2247.194263115643
Assis Chateaubriand,2009,15/03/,2266.1517709989184
Assis Chateaubriand,2009,25/03/,2263.1812372751933
Assis Chateaubriand,2010,05/02/,3385.993168580335
Assis Chateaubriand,2010,15/02/,3410.703783966245
Assis Chateaubriand,2010,25/02/,3363.2371715245085
Assis Chateaubriand,2010,05/03/,3379.7733047914994
Assis Chateaubriand,2010,15/03/,3371.785907588898
Assis Chateaubriand,2010,25/03/,3365.54920403843
Assis Chateaubriand,2011,05/02/,3360.766959249807
Assis Chateaubriand,2011,15/02/,3352.580373321499
Assis Chateaubriand,2011,25/02/,3365.9017665357624
Assis Chateaubriand,2011,05/03/,3365.3557883734006
Assis Chateaubriand,2011,15/03/,3349.9268220208837
Assis Chateaubriand,2011,25/03/,3388.136748302258
Assis Chateaubriand,2012,05/02/,2011.4386112127002
Assis Chateaubriand,2012,15/02/,1438.4498402825288
Assis Chateaubriand,2012,25/02/,2141.8657266703012
Assis Chateaubriand,2012,05/03/,1463.8775468894146
Assis Chateaubriand,2012,15/03/,1528.1024839923634
Assis Chateaubriand,2012,25/03/,1513.298424083712
Assis Chateaubriand,2013,05/02/,3539.1399681666203
Assis Chateaubriand,2013,15/02/,3467.6702608773485
Assis Chateaubriand,2013,25/02/,3585.739987366226
Assis Chateaubriand,2013,05/03/,3600.804194790188
Assis Chateaubriand,2013,15/03/,3414.5239960346585
Assis Chateaubriand,2013,25/03/,3609.8795079409147
Assis Chateaubriand,2014,05/02/,3262.927286221154
Assis Chateaubriand,2014,15/02/,3349.2794870641123
Assis Chateaubriand,2014,25/02/,3263.496106246828
Assis Chateaubriand,2014,05/03/,3408.7354200571112
Assis Chateaubriand,2014,15/03/,3469.4880053138368
Assis Chateaubriand,2014,25/03/,3370.649287455652
Assis Chateaubriand,2015,05/02/,3530.3430777154035
Assis Chateaubriand,2015,15/02/,3459.1834395994733
Assis Chateaubriand,2015,25/02/,3130.855332504458
Assis Chateaubriand,2015,05/03/,3366.4599145719803
Assis Chateaubriand,2015,15/03/,3366.10006585155
Assis Chateaubriand,2015,25/03/,3364.501810618527
Assis Chateaubriand,2016,05/02/,3390.637572152121
Assis Chateaubriand,2016,15/02/,3402.096018437706
Assis Chateaubriand,2016,25/02/,3385.2932507132073
Assis Chateaubriand,2016,05/03/,3383.5820945405867
Assis Chateaubriand,2016,15/03/,3373.256076164871
Assis Chateaubriand,2016,25/03/,3386.6309913096334
Assis Chateaubriand,2017,05/02/,3803.2644913214226
Assis Chateaubriand,2017,15/02/,4174.461434542087
Assis Chateaubriand,2017,25/02/,4156.768595597998
Assis Chateaubriand,2017,05/03/,4115.754968650485
Assis Chateaubriand,2017,15/03/,4164.597789171477
Assis Chateaubriand,2017,25/03/,4133.2848484054575
Assis Chateaubriand,2018,05/02/,3517.4883415985755
Assis Chateaubriand,2018,15/02/,3501.355820522786
Assis Chateaubriand,2018,25/02/,3484.198270133786
Assis Chateaubriand,2018,05/03/,3463.988531731003
Assis Chateaubriand,2018,15/03/,3549.6797894631836
Assis Chateaubriand,2018,25/03/,3440.225565243274
Assis Chateaubriand,2019,05/02/,2236.9037643339675
Assis Chateaubriand,2019,15/02/,2247.166235950459
Assis Chateaubriand,2019,25/02/,2226.8184835464845
Assis Chateaubriand,2019,05/03/,2218.5048476874604
Assis Chateaubriand,2019,15/03/,2259.2739897293095
Assis Chateaubriand,2019,25/03/,2197.511927073405
Assis Chateaubriand,2020,05/02/,4169.617942941381
Assis Chateaubriand,2020,15/02/,3808.049746380533
Assis Chateaubriand,2020,25/02/,4066.742084756794
Assis Chateaubriand,2020,05/03/,4190.853808125736
Assis Chateaubriand,2020,15/03/,4196.712986742794
Assis Chateaubriand,2020,25/03/,4189.390874895191
Assis Chateaubriand,2021,05/02/,3076.0479209787254
Assis Chateaubriand,2021,15/02/,2985.816014568418
Assis Chateaubriand,2021,25/02/,3161.5488081437275
Assis Chateaubriand,2021,05/03/,3127.6783122879433
Assis Chateaubriand,2021,15/03/,2982.411639655379
Assis Chateaubriand,2021,25/03/,3063.7545885111285
Assis Chateaubriand,2022,05/02/,2979.430124278285
Assis Chateaubriand,2022,15/02/,3133.46588577802
Assis Chateaubriand,2022,25/02/,3624.729123586219
Assis Chateaubriand,2022,05/03/,3597.36685947487
Assis Chateaubriand,2022,15/03/,3288.2964700310176
