Localidade,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Latitude,Longitude,Altitude,Municipio
Cascavel,2845.0,3246.639190313517,2566.822883950221,3350.942977003843,3517.1019719633878,2670.760215642018,3593.65819994728,3740.8100686270104,3753.3986712286373,3681.580377413075,4032.1324036872443,3558.264190948123,3328.905302266396,4302.280660588199,3630.5622079179298,3157.1910505313863,-25.03,-53.38,712,Cascavel
Foz do Iguaçu,3471.0000000000005,3482.4118138375206,3493.898913800477,3403.459262357731,3642.7489453207663,1562.6031410132398,3920.076202780981,3605.7110456287164,2927.7536557244443,3564.116016085034,3526.565033071074,3086.2495533733722,1561.4002355846137,4543.559328370639,3637.898794365801,736.1871203770721,-25.47,-54.48,275,Foz do Iguaçu
Guaíra,2836.0,2870.4062804347873,1604.515951771236,3157.036692620257,3383.3487422603725,1889.9669740687139,3449.83026744868,2756.224764654594,2800.4153697511606,3386.889084958516,3721.968372634379,3630.881827498085,2373.3283580886127,4324.215084932057,3406.2722793687276,806.6507447560203,-24.19,-54.23,275,Guaíra
Marechal Cândido Rondon,2405.0,3248.6457658328704,1709.2020615480294,3180.2650496037077,3343.8307425753906,1384.6880143526562,3559.996343405054,3244.423506852975,3029.4189001708564,3327.1265151600387,3895.660230023984,3754.33180963302,1806.0196058262031,3885.5265980548916,3458.676468282093,668.8785836568826,-24.57,-54.14,327,Marechal Cândido Rondon
Matelândia,3100.0,3606.819496037421,1770.6044913209562,3186.3246209906943,3432.999562377401,1510.7535898150127,3527.3545431216844,3566.8189026443592,2979.0997387781877,3487.867220135253,4229.603503457568,4149.579231426383,2456.603037319792,4143.517208194558,3897.8235713760914,1043.2823191629363,-25.35,-53.91,324,Matelândia
Medianeira,3419.0,3477.395375039138,1250.1937340651664,3625.643546547256,3744.0771496412326,1640.8857967438967,3658.94180051402,3729.551816710486,3125.9495363118936,3298.275619395257,3846.0339850555256,3859.1086852265357,1989.2239001347975,4402.552314731551,3897.8235713760914,778.2549558271903,-25.26,-54.09,401,Medianeira
Santa Helena,2844.0,3361.0139949166505,1307.5697750005243,3597.3655467413164,3268.847871378245,1382.6546986193925,2803.11459933441,2956.8263442581215,3049.9573333923536,3310.6402890087347,3205.0283208796045,3291.6537253289785,1873.6802827015363,3885.5265980548916,3458.676468282093,759.3244298746372,-24.89,-54.31,238,Santa Helena
São Miguel do Iguaçu,3248.0,3064.0408180523737,1333.7413024447226,3537.779761435944,3666.0544323144736,1411.121118885086,3662.001969290586,3302.7617213295116,2961.642070539915,3539.386676858078,3366.3136170270946,3734.6213082837444,1497.9032926708392,4401.507818334224,3637.898794365801,820.3227912773089,-25.39,-54.26,299,São Miguel do Iguaçu
São Pedro do Iguaçu,3069.0,3411.178382900481,2714.792673730881,3326.7046914558946,3445.158946895857,1763.9013986063574,3565.0966246993307,3472.658977524336,3484.345196027022,3443.560487353624,4104.504010932913,3215.9239043554467,2706.42707501333,4177.985589306335,3563.4848461088227,1312.5164660436944,-24.91,-53.89,517,São Pedro do Iguaçu
Toledo,3117.0,3174.402471616801,2278.936082064039,3438.8067621151554,3394.4948447356237,1383.6713564860245,3654.8615754785988,3556.5841281747917,3644.5449751547008,3408.527256782102,4238.908424389155,3475.2726063195955,2175.5509949145617,4177.985589306335,3511.0806571954577,841.3567090023682,-24.7,-53.78,524,Toledo
