Município,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cascavel,6.677,7.234,6.355,5.823,6.570,6.551,4.823,4.486,4.858,4.840
Foz do Iguaçu,7.500,6.732,4.872,4.747,5.913,6.300,3.600,6.500,6.900,5.950
Guaíra,5.884,6.511,6.011,5.500,6.700,4.501,3.001,3.998,6.700,3.350
Marechal Cândido Rondon,6.618,4.947,6.579,5.577,7.208,4.671,3.197,5.645,6.607,4.439
Matelândia,7.209,6.038,5.247,6.036,6.002,4.879,3.166,5.937,5.715,5.546
Medianeira,7.020,5.000,5.000,5.500,5.901,5.000,3.500,6.000,6.000,5.456
Santa Helena,6.149,4.627,5.342,4.528,5.810,2.276,3.016,5.982,6.448,6.011
São Miguel do Iguaçu,6.697,6.809,5.224,5.211,6.158,5.971,3.505,6.991,6.600,5.958
São Pedro do Iguaçu,5.954,5.284,4.980,5.310,7.009,4.763,2.806,5.677,6.362,6.500

Toledo,7.109,6.266,5.448,5.535,7.706,5.041,2.438,6.049,8.009,6.211
