Localidade,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Media,Meedia
Anahy,3360,3150,3099,3204,3719,2705,3400,3698,3709,4091,3644,3644,3471,3619,3217,1893,"3351,4","3395,2"
Assis Chateaubriand,2968,3100,998,3671,3291,1401,3493,3203,3295,3420,3967,3480,2200,3700,3250,650,"2880,4","2917,8"
Boa Vista da Aparecida,3260,3300,3471,3456,3717,2500,3932,3449,3577,3687,3700,3667,3500,4452,3571,2381,"3476,3","3520,9"
Braganey,3189,3215,2709,3180,3627,2907,3383,3704,3705,3826,3850,3347,3600,3719,3390,2825,"3386,0","3429,0"
Cafelândia,3148,3469,2747,3292,3460,2973,3853,3826,4008,3434,4515,3700,3421,4215,3460,1450,"3435,7","3480,1"
Campo Bonito,3200,3480,2257,3149,3590,2724,3896,3561,3707,3543,3500,3800,3000,4597,3498,2544,"3377,9","3420,6"
Capitão Leônidas Marques,3300,3300,3347,3283,3700,3300,3282,3426,3426,3401,3599,3800,3700,4200,3108,2432,"3412,8","3456,9"
Cascavel,2845,3236,2550,3318,3471,2627,3523,3655,3655,3573,3900,3430,3198,4119,3464,3002,"3347,9","3389,7"
Catanduvas,3492,3595,3080,3429,3758,2571,3754,3273,3373,4068,3750,3760,3800,4393,3419,3629,"3571,5","3616,4"
Céu Azul,3296,3595,2844,3495,3591,1735,3991,3736,3792,3717,3965,3471,2800,4100,3526,1734,"3336,8","3380,3"
Corbélia,3373,3461,2706,3540,3739,2515,3716,3965,3965,4084,3979,3500,4000,4250,3563,3621,"3623,6","3668,7"
Diamante D'Oeste,3000,3223,1735,2974,3000,1800,3460,3444,3453,3340,3060,3300,3471,3719,3101,1020,"2943,8","2981,7"
Diamante do Sul,2500,3180,1838,2726,3050,1740,3100,2980,3150,2900,3500,3400,2980,3720,3100,3100,"2935,3","2971,0"
Entre Rios do Oeste,2466,2989,2099,3297,3200,1240,3894,3431,3209,3287,3800,3720,1900,3900,3900,820,"2947,0","2984,7"
Formosa do Oeste,2900,3000,1800,3350,3350,1600,3790,3855,3993,3684,4300,3582,3025,3200,3545,4000,"3310,9","3351,0"
Foz do Iguaçu,3471,3471,3471,3370,3595,1537,3843,3523,2851,3459,3411,2975,1500,4350,3471,700,"3062,4","3104,5"
Guaíra,2836,2861,1594,3126,3339,1859,3382,2693,2727,3287,3600,3500,2280,4140,3250,767,"2827,6","2863,9"
Guaraniaçu,3200,3050,2331,3021,3262,2049,3217,3298,3148,2989,3838,3700,3140,4081,3470,3470,"3204,0","3243,3"
Ibema,3200,3223,3000,3441,3595,2725,3223,3221,3222,3446,3500,3497,2600,4196,3400,3000,"3280,6","3322,6"
Iguatu,3150,3200,3300,3292,3719,2611,3500,3671,3670,4003,3900,3600,3650,4000,3360,3548,"3510,9","3554,9"
Iracema do Oeste,3000,3100,2000,3300,3346,1697,3690,3613,3913,3346,4200,4200,2850,3340,3100,546,"3077,6","3117,8"
Itaipulândia,3273,3347,714,3088,3211,1795,3400,2775,2748,3397,3100,3800,1608,2700,3471,495,"2682,6","2718,5"
Jesuítas,3000,3250,2000,3698,3700,2000,3950,3543,3996,3347,4200,4000,3138,3458,3100,917,"3206,1","3248,1"
Lindoeste,2700,3216,3250,3173,3200,2661,3408,3500,3500,3238,3690,3595,3000,3900,3349,2791,"3260,7","3302,0"
Marechal Cândido Rondon,2405,3238,1698,3149,3300,1362,3490,3170,2950,3229,3768,3619,1735,3720,3300,636,"2798,1","2834,4"
Maripá,3071,3093,1294,3178,3300,1024,3723,3720,3269,4159,3500,3800,2300,3500,3200,651,"2923,9","2961,8"
Matelândia,3100,3595,1759,3155,3388,1486,3458,3485,2901,3385,4091,4000,2360,3967,3719,992,"3052,6","3091,9"
Medianeira,3419,3466,1242,3590,3695,1614,3587,3644,3044,3201,3720,3720,1911,4215,3719,740,"3032,9","3072,8"
Mercedes,2346,3000,1993,3043,3100,1500,3522,3153,3041,3089,3500,3720,1859,3700,3000,720,"2767,9","2803,9"
Missal,3100,3471,944,3424,3342,1500,3599,2781,2227,3347,3000,3600,1491,3719,3347,620,"2719,5","2755,7"
Nova Aurora,3245,3269,1610,3320,3459,2495,3583,3682,3967,3583,4282,4000,2660,3645,3223,1200,"3201,4","3243,0"
Nova Santa Rosa,3153,3156,1750,2987,3300,1323,3724,4031,3451,3689,3400,3650,1860,3920,3300,300,"2937,1","2975,9"
Ouro Verde do Oeste,2835,3343,1896,3374,3200,1496,3347,3335,3572,3332,3900,3300,2500,4200,4200,801,"3039,4","3078,2"
Palotina,2958,3166,1256,3318,3300,1347,3266,3269,3170,3531,4100,3600,2375,4000,3250,352,"2891,1","2928,5"
Pato Bragado,2692,3200,1397,3485,3000,1362,3386,3197,2788,3400,3520,3600,2000,3932,3471,800,"2826,9","2863,2"
Quatro Pontes,3307,3500,1849,3659,3400,1240,3595,3575,3476,2993,4090,3600,2100,3750,3400,813,"3021,7","3061,8"
Ramilândia,3350,3471,1743,3163,3186,1497,3165,3136,3067,2958,3600,3000,2600,3719,3347,860,"2866,4","2904,2"
Santa Helena,2844,3350,1299,3562,3226,1360,2748,2889,2970,3213,3100,3173,1800,3720,3300,722,"2704,8","2740,4"
Santa Lúcia,3471,3300,3300,3288,3230,2913,3283,3422,3422,3583,3500,3471,4090,4150,3093,3517,"3439,6","3483,0"
Santa Tereza do Oeste,3244,3659,2762,3294,3719,2739,3563,3436,3435,3756,3967,3450,3200,4350,3554,3395,"3470,2","3513,9"
Santa Terezinha de Itaipu,3464,3471,3470,3400,3471,2000,3719,3334,3259,3328,3439,3347,3200,4200,3471,700,"3204,6","3247,7"
