Municipio,Altitude,DOY,MAE,MSE,RMSE,R²,MAPE,Data_semeadura
Céu Azul,465,36,211.5436575106426,56652.620759977995,238.01811015126137,0.8318469446415944,5.894002831744007,05/02
Céu Azul,465,46,184.02822376567474,47774.44117842943,218.57365161068574,0.8581986473983476,5.194397754654621,15/02
Céu Azul,465,56,208.39893878668968,58173.73452226365,241.19231853909372,0.8273320621305148,6.23271887886336,25/02
Céu Azul,465,64,187.22335960401932,48085.21280493654,219.28340750028613,0.6631050771489093,5.255395865994695,05/03
Céu Azul,465,74,230.83419990544306,65363.123384000246,255.66212739473215,0.542052470494663,6.545237042220322,15/03
Céu Azul,465,84,200.5620012633549,55297.12703753205,235.1534117071918,0.6125769179234288,5.722708914641536,25/03
Medianeira,401,36,135.75548977763646,50810.064879994265,225.41088012781074,0.9290040056538212,3.9088230691390757,05/02
Medianeira,401,46,114.46048506327938,31782.90356997149,178.2776025471834,0.9555903176371009,3.4359283848172315,15/02
Medianeira,401,56,113.50479218054392,17158.370776301086,130.98996441064133,0.9760249155851098,4.070025769394616,25/02
Medianeira,401,64,110.45993791117183,23627.66542815759,153.71293188329207,0.9635018139151835,3.251574882953249,05/03
Medianeira,401,74,148.93422491515227,89749.86636725915,299.5828205476061,0.8613613632832339,4.273053052941014,15/03
Medianeira,401,84,134.1746155097773,48086.254749210115,219.28578328111038,0.9257200810086376,3.8921755045158095,25/03
Mercedes,326,36,141.28705973021997,30297.646123408107,174.06219039012495,0.9293464670316163,5.120350904215268,05/02
Mercedes,326,46,134.883411661829,28096.163924261105,167.6191036972251,0.9344802815366504,4.897531232879233,15/02
Mercedes,326,56,181.12203672334437,59428.32838752329,243.77926160262953,0.8614142715285138,7.24441337056497,25/02
Mercedes,326,64,120.3216112067586,25760.68829354596,160.5013653946469,0.9249148219378871,4.457215724713545,05/03
Mercedes,326,74,188.41268770614207,57448.41199946504,239.68398361063893,0.8325539987436531,7.169732499722628,15/03
Mercedes,326,84,134.98548014596577,30882.90370863569,175.73532288255453,0.9099850012695911,4.916878314119192,25/03
Palotina,300,36,235.0668615010194,122299.49134355814,349.71344175418557,0.8051887804334331,12.27782829023739,05/02
Palotina,300,46,176.87179583821487,81392.87739450489,285.29436972100393,0.8703490461402419,8.954027276266906,15/02
Palotina,300,56,200.04887380645624,113770.40439012744,337.2986872048681,0.8187747881341483,11.562003657502123,25/02
Palotina,300,64,188.14128401812994,103905.87936470796,322.3443490503718,0.7868405173086058,10.222418546692825,05/03
Palotina,300,74,179.74662567239858,104435.06276928485,323.16414214650246,0.7857549150168187,10.072151585193936,15/03
Palotina,300,84,203.2074895146892,111084.76808881032,333.2938164575069,0.7721132639896902,10.807827213240538,25/03
