municipio,data_semeadura,isna_medio,isna_desvio,n_anos,freq_evento_adverso,freq_deficit_faseI,freq_deficit_faseIII,freq_frio_floracao,freq_geada,freq_excesso_faseIV,risco_climatico
Anahy,05/02/,0.7493778837860363,0.11669267903811796,27,0.4444444444444444,0.14814814814814814,0.37037037037037035,0.4074074074074074,0.0,0.2222222222222222,Inapto (risco > 40%)
Anahy,05/03/,0.7095964613767664,0.1116797010403957,27,0.37037037037037035,0.2222222222222222,0.18518518518518517,1.0,0.0,0.4444444444444444,Risco climático 40%
Anahy,15/02/,0.7357809111323024,0.10309185782966508,27,0.2962962962962963,0.037037037037037035,0.25925925925925924,0.7407407407407407,0.0,0.25925925925925924,Risco climático 30%
Anahy,15/03/,0.7163762380807691,0.10836721258146205,27,0.48148148148148145,0.2962962962962963,0.25925925925925924,1.0,0.037037037037037035,0.5185185185185185,Inapto (risco > 40%)
Anahy,25/02/,0.7100115020839074,0.10880449305231549,27,0.3333333333333333,0.1111111111111111,0.25925925925925924,0.9259259259259259,0.0,0.37037037037037035,Risco climático 40%
Anahy,25/03/,0.7088052239088216,0.12239379129376968,27,0.5555555555555556,0.48148148148148145,0.14814814814814814,1.0,0.14814814814814814,0.48148148148148145,Inapto (risco > 40%)
Assis Chateaubriand,05/02/,0.7121457514299591,0.12515308963245914,27,0.5185185185185185,0.18518518518518517,0.4074074074074074,0.4074074074074074,0.0,0.18518518518518517,Inapto (risco > 40%)
Assis Chateaubriand,05/03/,0.6916828756344694,0.11189638066049644,27,0.4074074074074074,0.25925925925925924,0.25925925925925924,1.0,0.0,0.4074074074074074,Inapto (risco > 40%)
Assis Chateaubriand,15/02/,0.7076627827713984,0.10750384575813364,27,0.2962962962962963,0.07407407407407407,0.25925925925925924,0.7407407407407407,0.0,0.2222222222222222,Risco climático 30%
Assis Chateaubriand,15/03/,0.6982641537006857,0.1121031829944386,27,0.6296296296296297,0.5185185185185185,0.18518518518518517,1.0,0.037037037037037035,0.4074074074074074,Inapto (risco > 40%)
Assis Chateaubriand,25/02/,0.6893497333311531,0.10992955822480462,27,0.37037037037037035,0.2222222222222222,0.18518518518518517,0.8888888888888888,0.0,0.2962962962962963,Risco climático 40%
Assis Chateaubriand,25/03/,0.6990632357662605,0.12222701361906857,27,0.7037037037037037,0.6296296296296297,0.14814814814814814,1.0,0.14814814814814814,0.4074074074074074,Inapto (risco > 40%)
Boa Vista da Aparecida,05/02/,0.7571704753342134,0.10421183569640335,27,0.4074074074074074,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.0,0.3333333333333333,Inapto (risco > 40%)
Boa Vista da Aparecida,05/03/,0.7430724633972594,0.09974922521160355,27,0.37037037037037035,0.25925925925925924,0.14814814814814814,1.0,0.0,0.5925925925925926,Risco climático 40%
Boa Vista da Aparecida,15/02/,0.7472407744886106,0.09627085305559813,27,0.2222222222222222,0.037037037037037035,0.18518518518518517,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%
Boa Vista da Aparecida,15/03/,0.7516551028725231,0.10521530511422801,27,0.4444444444444444,0.3333333333333333,0.1111111111111111,1.0,0.037037037037037035,0.5555555555555556,Inapto (risco > 40%)
Boa Vista da Aparecida,25/02/,0.7346683293265843,0.09865067005551857,27,0.25925925925925924,0.18518518518518517,0.1111111111111111,0.9629629629629629,0.0,0.4444444444444444,Risco climático 30%
Boa Vista da Aparecida,25/03/,0.7461242747288542,0.11976163203944612,27,0.48148148148148145,0.4074074074074074,0.1111111111111111,1.0,0.14814814814814814,0.5555555555555556,Inapto (risco > 40%)
Braganey,05/02/,0.7750169967399642,0.10205887792495082,27,0.3333333333333333,0.14814814814814814,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%
Braganey,05/03/,0.7487224708555713,0.09865568735815826,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%
Braganey,15/02/,0.763423756721751,0.09272189034408274,27,0.2962962962962963,0.037037037037037035,0.25925925925925924,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%
Braganey,15/03/,0.7566078904766572,0.10048105458495313,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037035,0.5555555555555556,Risco climático 40%
Braganey,25/02/,0.7429193238747942,0.09747702152291954,27,0.2962962962962963,0.14814814814814814,0.18518518518518517,0.9629629629629629,0.0,0.4444444444444444,Risco climático 30%
Braganey,25/03/,0.7499272613639866,0.11578818540244802,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.14814814814814814,0.5555555555555556,Inapto (risco > 40%)
Cafelândia,05/02/,0.7366026160824503,0.1173105635896937,27,0.4444444444444444,0.18518518518518517,0.37037037037037035,0.4074074074074074,0.0,0.14814814814814814,Inapto (risco > 40%)
Cafelândia,05/03/,0.6978795579441178,0.1108465398763539,27,0.4444444444444444,0.25925925925925924,0.2222222222222222,1.0,0.0,0.4074074074074074,Inapto (risco > 40%)
Cafelândia,15/02/,0.7222215252492826,0.10287299692881949,27,0.3333333333333333,0.07407407407407407,0.2962962962962963,0.7407407407407407,0.0,0.18518518518518517,Risco climático 40%
Cafelândia,15/03/,0.7041147518172529,0.10817719891221834,27,0.48148148148148145,0.2962962962962963,0.25925925925925924,1.0,0.037037037037037035,0.5185185185185185,Inapto (risco > 40%)
Cafelândia,25/02/,0.6976990419455633,0.1084221259328206,27,0.4074074074074074,0.14814814814814814,0.2962962962962963,0.9259259259259259,0.0,0.3333333333333333,Inapto (risco > 40%)
Cafelândia,25/03/,0.6961101471277615,0.12198520630282768,27,0.5555555555555556,0.48148148148148145,0.14814814814814814,1.0,0.14814814814814814,0.37037037037037035,Inapto (risco > 40%)
Campo Bonito,05/02/,0.7746723245647215,0.10220536210806765,27,0.3333333333333333,0.14814814814814814,0.2222222222222222,0.5185185185185185,0.0,0.2962962962962963,Risco climático 40%
Campo Bonito,05/03/,0.7482613503434868,0.09880276419946278,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.0,0.5925925925925926,Risco climático 40%
Campo Bonito,15/02/,0.7630902088812243,0.09285991800211255,27,0.2962962962962963,0.037037037037037035,0.25925925925925924,0.8518518518518519,0.0,0.3333333333333333,Risco climático 30%
Campo Bonito,15/03/,0.7562647320319797,0.1006027511238373,27,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.0,0.037037037037037035,0.5555555555555556,Risco climático 40%
Campo Bonito,25/02/,0.7425153588489667,0.09760137876392254,27,0.2962962962962963,0.14814814814814814,0.18518518518518517,0.9629629629629629,0.0,0.4444444444444444,Risco climático 30%
Campo Bonito,25/03/,0.7495703859038966,0.11589089102458713,27,0.4074074074074074,0.3333333333333333,0.1111111111111111,1.0,0.14814814814814814,0.5555555555555556,Inapto (risco > 40%)
Capitão Leônidas Marques,05/02/,0.7376015574398944,0.11482366185137213,27,0.2962962962962963,0.2222222222222222,0.14814814814814814,0.5185185185185185,0.0,0.4074074074074074,Risco climático 30%
Capitão Leônidas Marques,05/03/,0.7446292840523315,0.08858184275381421,27,0.3333333333333333,0.25925925925925924,0.1111111111111111,1.0,0.0,0.5555555555555556,Risco climático 40%
Capitão Leônidas Marques,15/02/,0.737455018213125,0.09412725331451206,27,0.2962962962962963,0.1111111111111111,0.2222222222222222,0.8148148148148148,0.0,0.4074074074074074,Risco climático 30%
