municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Anahy,05/02/,26,7.7,-874.3410286090067,Viabilidade intermediária
Anahy,05/03/,26,7.7,-871.184143588304,Mais viável
Anahy,15/02/,26,3.8,-885.6370173796408,Viabilidade intermediária
Anahy,15/03/,26,3.8,-874.0480590468204,Viabilidade intermediária
Anahy,25/02/,26,3.8,-874.8327992258588,Viabilidade intermediária
Anahy,25/03/,26,3.8,-881.8922967460583,Viabilidade intermediária
Assis Chateaubriand,05/02/,26,7.7,-908.7491295905592,Viabilidade intermediária
Assis Chateaubriand,05/03/,26,7.7,-902.6834872947984,Viabilidade intermediária
Assis Chateaubriand,15/02/,26,3.8,-938.787866203759,Menos viável
Assis Chateaubriand,15/03/,26,7.7,-920.158706361525,Menos viável
Assis Chateaubriand,25/02/,26,7.7,-904.8731571881154,Viabilidade intermediária
Assis Chateaubriand,25/03/,26,7.7,-911.097112368821,Viabilidade intermediária
Boa Vista da Aparecida,05/02/,26,3.8,-873.3012915861408,Mais viável
Boa Vista da Aparecida,05/03/,26,3.8,-841.0285450917485,Mais viável
Boa Vista da Aparecida,15/02/,26,3.8,-837.2989203989721,Mais viável
Boa Vista da Aparecida,15/03/,26,3.8,-846.1450547739654,Mais viável
Boa Vista da Aparecida,25/02/,26,3.8,-833.5507212220099,Mais viável
Boa Vista da Aparecida,25/03/,26,3.8,-848.0219643048289,Mais viável
Braganey,05/02/,26,3.8,-849.8007488384768,Mais viável
Braganey,05/03/,26,3.8,-837.2960190525228,Mais viável
Braganey,15/02/,26,7.7,-839.2737892555587,Mais viável
Braganey,15/03/,26,7.7,-843.3367092900006,Mais viável
Braganey,25/02/,26,7.7,-831.3947582862721,Mais viável
Braganey,25/03/,26,7.7,-849.783212482782,Mais viável
Cafelândia,05/02/,26,7.7,-879.2693566661035,Viabilidade intermediária
Cafelândia,05/03/,26,7.7,-868.4197298233703,Mais viável
Cafelândia,15/02/,26,3.8,-891.5558833422352,Viabilidade intermediária
Cafelândia,15/03/,26,7.7,-872.6982557150956,Mais viável
Cafelândia,25/02/,26,3.8,-873.3657130485026,Mais viável
Cafelândia,25/03/,26,3.8,-878.9851853766297,Viabilidade intermediária
Campo Bonito,05/02/,26,3.8,-848.4144025156749,Mais viável
Campo Bonito,05/03/,26,3.8,-835.0579529842339,Mais viável
Campo Bonito,15/02/,26,7.7,-837.7234184227698,Mais viável
Campo Bonito,15/03/,26,7.7,-839.9349150546508,Mais viável
Campo Bonito,25/02/,26,7.7,-829.4191709659111,Mais viável
Campo Bonito,25/03/,26,7.7,-845.9738009522196,Mais viável
Capitão Leônidas Marques,05/02/,26,7.7,-909.469366882853,Viabilidade intermediária
Capitão Leônidas Marques,05/03/,26,3.8,-861.090286077733,Mais viável
Capitão Leônidas Marques,15/02/,26,7.7,-877.1882594745911,Viabilidade intermediária
Capitão Leônidas Marques,15/03/,26,7.7,-879.1902298206353,Viabilidade intermediária
Capitão Leônidas Marques,25/02/,26,7.7,-851.1678208107589,Mais viável
Capitão Leônidas Marques,25/03/,26,7.7,-866.1951510769347,Mais viável
Cascavel,05/02/,26,3.8,-851.5678447569699,Mais viável
Cascavel,05/03/,26,3.8,-833.7313986364776,Mais viável
Cascavel,15/02/,26,7.7,-838.576524654693,Mais viável
Cascavel,15/03/,26,7.7,-834.3618775949066,Mais viável
Cascavel,25/02/,26,7.7,-825.5399409420069,Mais viável
Cascavel,25/03/,26,7.7,-836.5046333333531,Mais viável
Catanduvas,05/02/,26,3.8,-838.6499459561107,Mais viável
Catanduvas,05/03/,26,3.8,-828.5389750579768,Mais viável
Catanduvas,15/02/,26,7.7,-830.0737390797332,Mais viável
Catanduvas,15/03/,26,7.7,-832.9637650629218,Mais viável
Catanduvas,25/02/,26,7.7,-822.6189013468527,Mais viável
Catanduvas,25/03/,26,7.7,-838.1333281121704,Mais viável
Corbélia,05/02/,26,7.7,-873.4944146161153,Mais viável
Corbélia,05/03/,26,7.7,-867.4663066086038,Mais viável
Corbélia,15/02/,26,3.8,-884.2519279717633,Viabilidade intermediária
Corbélia,15/03/,26,3.8,-869.5131422558862,Mais viável
Corbélia,25/02/,26,3.8,-870.8800246555852,Mais viável
Corbélia,25/03/,26,3.8,-877.5118845532039,Viabilidade intermediária
