municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Anahy,05/02/,26,50.0,55.251153322263356,Viabilidade intermediária
Anahy,05/03/,26,50.0,58.4080383429654,Mais viável
Anahy,15/02/,26,50.0,43.95516455162894,Viabilidade intermediária
Anahy,15/03/,26,50.0,55.54412288444907,Viabilidade intermediária
Anahy,25/02/,26,50.0,54.75938270541096,Viabilidade intermediária
Anahy,25/03/,26,50.0,47.699885185211535,Viabilidade intermediária
Assis Chateaubriand,05/02/,26,50.0,20.84305234071044,Viabilidade intermediária
Assis Chateaubriand,05/03/,26,50.0,26.908694636471434,Viabilidade intermediária
Assis Chateaubriand,15/02/,26,46.2,-9.195684272489425,Menos viável
Assis Chateaubriand,15/03/,26,46.2,9.433475569744527,Menos viável
Assis Chateaubriand,25/02/,26,46.2,24.719024743154346,Viabilidade intermediária
Assis Chateaubriand,25/03/,26,50.0,18.49506956244846,Viabilidade intermediária
Boa Vista da Aparecida,05/02/,26,50.0,56.290890345128794,Mais viável
Boa Vista da Aparecida,05/03/,26,50.0,88.56363683952107,Mais viável
Boa Vista da Aparecida,15/02/,26,50.0,92.29326153229756,Mais viável
Boa Vista da Aparecida,15/03/,26,50.0,83.44712715730415,Mais viável
Boa Vista da Aparecida,25/02/,26,50.0,96.04146070925982,Mais viável
Boa Vista da Aparecida,25/03/,26,50.0,81.57021762644086,Mais viável
Braganey,05/02/,26,50.0,79.79143309279267,Mais viável
Braganey,05/03/,26,50.0,92.2961628787468,Mais viável
Braganey,15/02/,26,50.0,90.31839267571114,Mais viável
Braganey,15/03/,26,50.0,86.25547264126898,Mais viável
Braganey,25/02/,26,50.0,98.19742364499793,Mais viável
Braganey,25/03/,26,50.0,79.80896944848763,Mais viável
Cafelândia,05/02/,26,50.0,50.32282526516606,Viabilidade intermediária
Cafelândia,05/03/,26,50.0,61.17245210789935,Mais viável
Cafelândia,15/02/,26,50.0,38.03629858903439,Viabilidade intermediária
Cafelândia,15/03/,26,50.0,56.89392621617405,Mais viável
Cafelândia,25/02/,26,50.0,56.22646888276704,Mais viável
Cafelândia,25/03/,26,50.0,50.60699655463997,Viabilidade intermediária
Campo Bonito,05/02/,26,50.0,81.17777941559483,Mais viável
Campo Bonito,05/03/,26,50.0,94.53422894703546,Mais viável
Campo Bonito,15/02/,26,50.0,91.86876350849982,Mais viável
Campo Bonito,15/03/,26,50.0,89.65726687661865,Mais viável
Campo Bonito,25/02/,26,50.0,100.17301096535886,Mais viável
Campo Bonito,25/03/,26,50.0,83.61838097905014,Mais viável
Capitão Leônidas Marques,05/02/,26,50.0,20.12281504841671,Viabilidade intermediária
Capitão Leônidas Marques,05/03/,26,53.8,68.50189585353696,Mais viável
Capitão Leônidas Marques,15/02/,26,50.0,52.40392245667847,Viabilidade intermediária
Capitão Leônidas Marques,15/03/,26,50.0,50.401952110634255,Viabilidade intermediária
Capitão Leônidas Marques,25/02/,26,46.2,78.42436112051051,Mais viável
Capitão Leônidas Marques,25/03/,26,53.8,63.39703085433491,Mais viável
Cascavel,05/02/,26,50.0,78.02433717429996,Mais viável
Cascavel,05/03/,26,50.0,95.86078329479189,Mais viável
Cascavel,15/02/,26,50.0,91.01565727657642,Mais viável
Cascavel,15/03/,26,50.0,95.2303043363631,Mais viável
Cascavel,25/02/,26,50.0,104.05224098926276,Mais viável
Cascavel,25/03/,26,50.0,93.08754859791651,Mais viável
Catanduvas,05/02/,26,50.0,90.94223597515905,Mais viável
Catanduvas,05/03/,26,50.0,101.05320687329305,Mais viável
Catanduvas,15/02/,26,50.0,99.51844285153658,Mais viável
Catanduvas,15/03/,26,50.0,96.62841686834804,Mais viável
Catanduvas,25/02/,26,50.0,106.97328058441684,Mais viável
Catanduvas,25/03/,26,50.0,91.45885381909908,Mais viável
Corbélia,05/02/,26,50.0,56.09776731515426,Mais viável
Corbélia,05/03/,26,50.0,62.1258753226659,Mais viável
Corbélia,15/02/,26,50.0,45.34025395950611,Viabilidade intermediária
Corbélia,15/03/,26,50.0,60.07903967538333,Mais viável
Corbélia,25/02/,26,50.0,58.712157275684476,Mais viável
Corbélia,25/03/,26,50.0,52.08029737806597,Viabilidade intermediária
Céu Azul,05/02/,26,50.0,42.53326051791351,Viabilidade intermediária
Céu Azul,05/03/,26,50.0,79.21280477293924,Mais viável
Céu Azul,15/02/,26,50.0,45.26526933482091,Viabilidade intermediária
Céu Azul,15/03/,26,46.2,62.02274598475257,Mais viável
Céu Azul,25/02/,26,50.0,72.47302241814151,Mais viável
Céu Azul,25/03/,26,50.0,55.31271656307414,Viabilidade intermediária
Diamante D'Oeste,05/02/,26,42.3,-57.762692679234235,Menos viável
Diamante D'Oeste,05/03/,26,46.2,-21.27095191534859,Menos viável
Diamante D'Oeste,15/02/,26,46.2,-38.03566156205201,Menos viável
Diamante D'Oeste,15/03/,26,46.2,-53.34405187456785,Menos viável
Diamante D'Oeste,25/02/,26,46.2,-29.357340535286372,Menos viável
Diamante D'Oeste,25/03/,26,42.3,-24.11805541939984,Menos viável
Diamante do Sul,05/02/,26,50.0,93.77873667979968,Mais viável
Diamante do Sul,05/03/,26,50.0,98.36201512290185,Mais viável
Diamante do Sul,15/02/,26,50.0,104.33943509108619,Mais viável
Diamante do Sul,15/03/,26,50.0,88.64601258938828,Mais viável
Diamante do Sul,25/02/,26,50.0,99.88103950332506,Mais viável
Diamante do Sul,25/03/,26,50.0,81.1764650422135,Mais viável
Entre Rios do Oeste,05/02/,26,46.2,-46.22677735507552,Menos viável
Entre Rios do Oeste,05/03/,26,50.0,-12.405287231728003,Menos viável
Entre Rios do Oeste,15/02/,26,46.2,-39.191414658035754,Menos viável
Entre Rios do Oeste,15/03/,26,42.3,-52.400984457603386,Menos viável
Entre Rios do Oeste,25/02/,26,46.2,-3.623083037550067,Menos viável
Entre Rios do Oeste,25/03/,26,42.3,-25.615655521828103,Menos viável
Formosa do Oeste,05/02/,26,50.0,43.874720410986725,Viabilidade intermediária
Formosa do Oeste,05/03/,26,50.0,48.61720902490856,Viabilidade intermediária
Formosa do Oeste,15/02/,26,50.0,28.529201200412654,Viabilidade intermediária
Formosa do Oeste,15/03/,26,50.0,44.47169921968559,Viabilidade intermediária
Formosa do Oeste,25/02/,26,50.0,45.70140942113783,Viabilidade intermediária
Formosa do Oeste,25/03/,26,50.0,39.08191279569736,Viabilidade intermediária
Foz do Iguaçu,05/02/,26,46.2,-32.1741652041023,Menos viável
Foz do Iguaçu,05/03/,26,50.0,65.1048833395074,Mais viável
Foz do Iguaçu,15/02/,26,46.2,21.012071349304147,Viabilidade intermediária
Foz do Iguaçu,15/03/,26,46.2,36.7452838234381,Viabilidade intermediária
