municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Anahy,05/02/,26,50.0,26.75607675222388,Viabilidade intermediária
Anahy,05/03/,26,46.2,29.912961772925883,Mais viável
Anahy,15/02/,26,50.0,15.460087981589473,Viabilidade intermediária
Anahy,15/03/,26,46.2,27.04904631440959,Viabilidade intermediária
Anahy,25/02/,26,50.0,26.26430613537148,Viabilidade intermediária
Anahy,25/03/,26,50.0,19.204808615171995,Viabilidade intermediária
Assis Chateaubriand,05/02/,26,46.2,-7.652024229329002,Viabilidade intermediária
Assis Chateaubriand,05/03/,26,46.2,-1.586381933567946,Viabilidade intermediária
Assis Chateaubriand,15/02/,26,46.2,-37.69076084252893,Menos viável
Assis Chateaubriand,15/03/,26,46.2,-19.061601000294942,Menos viável
Assis Chateaubriand,25/02/,26,46.2,-3.776051826885123,Viabilidade intermediária
Assis Chateaubriand,25/03/,26,46.2,-10.000007007591035,Viabilidade intermediária
Boa Vista da Aparecida,05/02/,26,50.0,27.795813775089336,Mais viável
Boa Vista da Aparecida,05/03/,26,53.8,60.06856026948155,Mais viável
Boa Vista da Aparecida,15/02/,26,50.0,63.79818496225805,Mais viável
Boa Vista da Aparecida,15/03/,26,50.0,54.95205058726473,Mais viável
Boa Vista da Aparecida,25/02/,26,53.8,67.54638413922034,Mais viável
Boa Vista da Aparecida,25/03/,26,50.0,53.075141056401435,Mais viável
Braganey,05/02/,26,50.0,51.296356522753214,Mais viável
Braganey,05/03/,26,50.0,63.801086308707276,Mais viável
Braganey,15/02/,26,53.8,61.82331610567156,Mais viável
Braganey,15/03/,26,50.0,57.760396071229394,Mais viável
Braganey,25/02/,26,50.0,69.70234707495828,Mais viável
Braganey,25/03/,26,50.0,51.31389287844816,Mais viável
Cafelândia,05/02/,26,50.0,21.82774869512652,Viabilidade intermediária
Cafelândia,05/03/,26,50.0,32.67737553785983,Mais viável
Cafelândia,15/02/,26,50.0,9.541222018994823,Viabilidade intermediária
Cafelândia,15/03/,26,46.2,28.398849646134558,Mais viável
Cafelândia,25/02/,26,50.0,27.731392312727465,Mais viável
Cafelândia,25/03/,26,50.0,22.1119199846004,Viabilidade intermediária
