municipio,data_semeadura,n_anos,pct_anos_cobre_custo,margem_media_rs_ha,risco_economico
Anahy,05/02/,26,53.8,193.6259110783775,Viabilidade intermediária
Anahy,05/03/,26,53.8,196.78279609907966,Mais viável
Anahy,15/02/,26,53.8,182.32992230774323,Viabilidade intermediária
Anahy,15/03/,26,57.7,193.91888064056332,Viabilidade intermediária
Anahy,25/02/,26,57.7,193.13414046152508,Viabilidade intermediária
Anahy,25/03/,26,57.7,186.07464294132575,Viabilidade intermediária
Assis Chateaubriand,05/02/,26,53.8,159.21781009682476,Viabilidade intermediária
Assis Chateaubriand,05/03/,26,53.8,165.28345239258562,Viabilidade intermediária
Assis Chateaubriand,15/02/,26,53.8,129.17907348362476,Menos viável
Assis Chateaubriand,15/03/,26,53.8,147.80823332585874,Menos viável
Assis Chateaubriand,25/02/,26,53.8,163.09378249926857,Viabilidade intermediária
Assis Chateaubriand,25/03/,26,53.8,156.86982731856273,Viabilidade intermediária
Boa Vista da Aparecida,05/02/,26,57.7,194.665648101243,Mais viável
Boa Vista da Aparecida,05/03/,26,57.7,226.93839459563534,Mais viável
Boa Vista da Aparecida,15/02/,26,57.7,230.6680192884118,Mais viável
Boa Vista da Aparecida,15/03/,26,57.7,221.8218849134185,Mais viável
Boa Vista da Aparecida,25/02/,26,57.7,234.4162184653742,Mais viável
Boa Vista da Aparecida,25/03/,26,57.7,219.9449753825553,Mais viável
Braganey,05/02/,26,57.7,218.166190848907,Mais viável
Braganey,05/03/,26,57.7,230.6709206348611,Mais viável
Braganey,15/02/,26,57.7,228.69315043182544,Mais viável
Braganey,15/03/,26,57.7,224.63023039738312,Mais viável
Braganey,25/02/,26,57.7,236.57218140111203,Mais viável
Braganey,25/03/,26,57.7,218.18372720460184,Mais viável
Cafelândia,05/02/,26,53.8,188.6975830212802,Viabilidade intermediária
Cafelândia,05/03/,26,53.8,199.54720986401355,Mais viável
Cafelândia,15/02/,26,53.8,176.4110563451486,Viabilidade intermediária
Cafelândia,15/03/,26,57.7,195.26868397228833,Mais viável
Cafelândia,25/02/,26,57.7,194.60122663888131,Mais viável
Cafelândia,25/03/,26,57.7,188.9817543107542,Viabilidade intermediária
Campo Bonito,05/02/,26,57.7,219.5525371717091,Mais viável
Campo Bonito,05/03/,26,57.7,232.90898670314982,Mais viável
Campo Bonito,15/02/,26,57.7,230.24352126461415,Mais viável
Campo Bonito,15/03/,26,57.7,228.03202463273283,Mais viável
Campo Bonito,25/02/,26,57.7,238.54776872147306,Mais viável
Campo Bonito,25/03/,26,57.7,221.99313873516445,Mais viável
Capitão Leônidas Marques,05/02/,26,53.8,158.497572804531,Viabilidade intermediária
Capitão Leônidas Marques,05/03/,26,53.8,206.8766536096512,Mais viável
Capitão Leônidas Marques,15/02/,26,53.8,190.77868021279266,Viabilidade intermediária
Capitão Leônidas Marques,15/03/,26,57.7,188.77670986674855,Viabilidade intermediária
Capitão Leônidas Marques,25/02/,26,57.7,216.7991188766247,Mais viável
Capitão Leônidas Marques,25/03/,26,57.7,201.77178861044908,Mais viável
Cascavel,05/02/,26,57.7,216.39909493041426,Mais viável
Cascavel,05/03/,26,57.7,234.2355410509062,Mais viável
Cascavel,15/02/,26,57.7,229.39041503269073,Mais viável
Cascavel,15/03/,26,57.7,233.6050620924774,Mais viável
Cascavel,25/02/,26,57.7,242.42699874537692,Mais viável
Cascavel,25/03/,26,57.7,231.4623063540309,Mais viável
Catanduvas,05/02/,26,57.7,229.31699373127327,Mais viável
Catanduvas,05/03/,26,57.7,239.42796462940728,Mais viável
Catanduvas,15/02/,26,57.7,237.8932006076507,Mais viável
Catanduvas,15/03/,26,57.7,235.0031746244623,Mais viável
Catanduvas,25/02/,26,57.7,245.3480383405311,Mais viável
Catanduvas,25/03/,26,57.7,229.8336115752133,Mais viável
Corbélia,05/02/,26,53.8,194.47252507126848,Mais viável
Corbélia,05/03/,26,53.8,200.50063307878014,Mais viável
Corbélia,15/02/,26,53.8,183.71501171562053,Viabilidade intermediária
Corbélia,15/03/,26,57.7,198.4537974314976,Mais viável
Corbélia,25/02/,26,57.7,197.08691503179867,Mais viável
Corbélia,25/03/,26,57.7,190.45505513418027,Viabilidade intermediária
Céu Azul,05/02/,26,53.8,180.90801827402777,Viabilidade intermediária
Céu Azul,05/03/,26,53.8,217.5875625290533,Mais viável
Céu Azul,15/02/,26,53.8,183.6400270909351,Viabilidade intermediária
Céu Azul,15/03/,26,53.8,200.3975037408668,Mais viável
Céu Azul,25/02/,26,57.7,210.84778017425577,Mais viável
Céu Azul,25/03/,26,57.7,193.68747431918834,Viabilidade intermediária
Diamante D'Oeste,05/02/,26,53.8,80.61206507687999,Menos viável
Diamante D'Oeste,05/03/,26,53.8,117.10380584076574,Menos viável
Diamante D'Oeste,15/02/,26,53.8,100.33909619406222,Menos viável
Diamante D'Oeste,15/03/,26,53.8,85.03070588154645,Menos viável
Diamante D'Oeste,25/02/,26,53.8,109.01741722082787,Menos viável
Diamante D'Oeste,25/03/,26,57.7,114.25670233671443,Menos viável
Diamante do Sul,05/02/,26,61.5,232.15349443591387,Mais viável
Diamante do Sul,05/03/,26,57.7,236.73677287901606,Mais viável
Diamante do Sul,15/02/,26,57.7,242.71419284720045,Mais viável
Diamante do Sul,15/03/,26,57.7,227.02077034550254,Mais viável
Diamante do Sul,25/02/,26,57.7,238.25579725943933,Mais viável
Diamante do Sul,25/03/,26,57.7,219.55122279832756,Mais viável
Entre Rios do Oeste,05/02/,26,53.8,92.14798040103875,Menos viável
Entre Rios do Oeste,05/03/,26,53.8,125.96947052438631,Menos viável
Entre Rios do Oeste,15/02/,26,53.8,99.1833430980785,Menos viável
Entre Rios do Oeste,15/03/,26,53.8,85.97377329851074,Menos viável
Entre Rios do Oeste,25/02/,26,53.8,134.75167471856426,Menos viável
Entre Rios do Oeste,25/03/,26,53.8,112.7591022342862,Menos viável
Formosa do Oeste,05/02/,26,53.8,182.24947816710105,Viabilidade intermediária
Formosa do Oeste,05/03/,26,53.8,186.99196678102277,Viabilidade intermediária
Formosa do Oeste,15/02/,26,53.8,166.90395895652694,Viabilidade intermediária
Formosa do Oeste,15/03/,26,57.7,182.8464569757998,Viabilidade intermediária
Formosa do Oeste,25/02/,26,57.7,184.07616717725207,Viabilidade intermediária
Formosa do Oeste,25/03/,26,57.7,177.4566705518117,Viabilidade intermediária
Foz do Iguaçu,05/02/,26,53.8,106.20059255201191,Menos viável
Foz do Iguaçu,05/03/,26,53.8,203.47964109562173,Mais viável
Foz do Iguaçu,15/02/,26,53.8,159.38682910541846,Viabilidade intermediária
Foz do Iguaçu,15/03/,26,57.7,175.12004157955246,Viabilidade intermediária
Foz do Iguaçu,25/02/,26,53.8,204.51241654739758,Mais viável
Foz do Iguaçu,25/03/,26,57.7,180.2213723599405,Viabilidade intermediária
Guaraniaçu,05/02/,26,57.7,227.13155468162174,Mais viável
Guaraniaçu,05/03/,26,57.7,235.9819188812838,Mais viável
Guaraniaçu,15/02/,26,57.7,237.43017340566487,Mais viável
Guaraniaçu,15/03/,26,57.7,232.43181448254285,Mais viável
Guaraniaçu,25/02/,26,57.7,242.21083177849033,Mais viável
Guaraniaçu,25/03/,26,57.7,227.609787602308,Mais viável
Guaíra,05/02/,26,53.8,125.41934974528759,Menos viável
Guaíra,05/03/,26,53.8,132.683390519155,Menos viável
Guaíra,15/02/,26,53.8,109.0754832240425,Menos viável
Guaíra,15/03/,26,53.8,112.97947495091283,Menos viável
Guaíra,25/02/,26,53.8,132.3129835094452,Menos viável
Guaíra,25/03/,26,53.8,142.87571415914002,Menos viável
Ibema,05/02/,26,57.7,224.161445687435,Mais viável
Ibema,05/03/,26,57.7,237.17500917110212,Mais viável
Ibema,15/02/,26,57.7,234.3588988261698,Mais viável
